action,action_n,replica,cpu,heap,inc_tps,out_tps,cpu_usage,memory_usage,cost,reward,sum_reward
INCREASE_CPU,3,9,2,1,3.0,2.0,0.09,0.16,0.03,-0.11930730286500481,-0.11930730286500481
DECREASE_REPLICA,2,8,2,1,23.0,28.0,0.1,0.34,0.04,-0.1329042858945157,-0.2522115887595205
DECREASE_REPLICA,2,7,2,1,4.0,2.0,0.09,0.16,0.03,-0.0936769051545334,-0.3458884939140539
DECREASE_REPLICA,2,6,2,1,4.0,3.0,0.08,0.16,0.02,-0.07165863567689129,-0.4175471295909452
DECREASE_REPLICA,2,5,2,1,19.0,27.0,0.08,0.3,0.02,-0.06792470804389455,-0.48547183763483975
DECREASE_REPLICA,2,4,2,1,4.0,3.0,0.1,0.26,0.02,-0.06460992409389246,-0.5500817617287322
DECREASE_REPLICA,2,3,2,1,12.0,9.0,0.1,0.25,0.01,-0.04673855236152984,-0.596820314090262
INCREASE_HEAP,5,3,2,2,28.0,33.0,0.17,0.34,0.02,-0.07199577230681645,-0.6688160863970785
DECREASE_REPLICA,2,2,2,2,19.0,11.0,0.25,0.31,0.02,-0.06605893112946523,-0.7348750175265437
INCREASE_HEAP,5,2,2,3,552.0,688.0,0.26,0.46,0.02,0.019841983288734794,-0.715033034237809
INCREASE_HEAP,5,2,2,4,676.0,896.0,0.44,0.46,0.03,0.005737407979477721,-0.7092956262583312
INCREASE_HEAP,5,2,2,5,426.0,476.0,0.38,0.42,0.03,-0.03802956286985652,-0.7473251891281877
INCREASE_HEAP,5,2,2,6,1321.0,1747.0,0.61,0.45,0.04,0.08259358925407442,-0.6647315998741132
INCREASE_HEAP,5,2,2,7,2445.0,3256.0,0.57,0.48,0.04,0.3007034885724522,-0.364028111301661
DECREASE_REPLICA,2,1,2,7,1469.0,1754.0,0.84,0.48,0.03,0.13525650166504666,-0.22877160963661436
INCREASE_CPU,3,1,3,7,2548.0,3242.0,0.36,0.59,0.01,0.3953464104194698,0.16657480078285541
INCREASE_CPU,3,1,4,7,1321.0,1681.0,0.38,0.65,0.01,0.17638870142418858,0.34296350220704397
INCREASE_CPU,3,1,5,7,1639.0,2203.0,0.7,0.78,0.03,0.20976539721617293,0.5527288994232169
INCREASE_HEAP,5,1,5,8,1768.0,2279.0,1.0,0.73,0.03,0.18609644717525078,0.7388253465984677
INCREASE_HEAP,5,1,5,9,2366.0,3107.0,0.83,0.75,0.03,0.3194986237753348,1.0583239703738023
DO_NOTHING,0,1,5,9,1948.0,2456.0,1.1,0.63,0.04,0.19895331298475122,1.2572772833585535
DO_NOTHING,0,1,5,9,1874.0,2369.0,0.52,0.67,0.02,0.2549185566950666,1.5121958400536202
DO_NOTHING,0,1,5,9,1948.0,2456.0,1.1,0.63,0.04,0.19895331298475122,1.7111491530383713
DO_NOTHING,0,1,5,9,2391.0,3133.0,1.08,0.75,0.04,0.29338427307804865,2.00453342611642
DO_NOTHING,0,1,5,9,2391.0,3133.0,1.08,0.75,0.04,0.29338427307804865,2.2979176991944685
DO_NOTHING,0,1,5,9,4488.0,5817.0,1.04,0.78,0.04,0.667945995115985,2.9658636943104533
DO_NOTHING,0,1,5,9,3660.0,4817.0,0.89,0.78,0.03,0.5478699696846705,3.513733663995124
DO_NOTHING,0,1,5,9,2275.0,2921.0,0.79,0.73,0.03,0.29834772272346466,3.8120813867185888
DO_NOTHING,0,1,5,9,4915.0,6582.0,0.52,0.79,0.02,0.8347667959049835,4.646848182623573
DO_NOTHING,0,1,5,9,3660.0,4817.0,0.89,0.78,0.03,0.5478699696846705,5.194718152308243
DO_NOTHING,0,1,5,9,4915.0,6582.0,0.52,0.79,0.02,0.8347667959049835,6.029484948213227
INCREASE_REPLICA,1,2,5,9,1375.0,1488.0,0.49,0.56,0.04,0.07292959244643069,6.102414540659658
DECREASE_REPLICA,2,1,5,9,3660.0,4817.0,0.89,0.78,0.03,0.5478699696846705,6.650284510344329
INCREASE_REPLICA,1,2,5,9,2075.0,2752.0,1.02,0.66,0.07,0.11940421432678194,6.769688724671111
DECREASE_REPLICA,2,1,5,9,1874.0,2369.0,0.52,0.67,0.02,0.2549185566950666,7.024607281366178
DO_NOTHING,0,1,5,9,2619.0,3495.0,1.05,0.75,0.04,0.3470157526367851,7.371623034002963
DO_NOTHING,0,1,5,9,4915.0,6582.0,0.52,0.79,0.02,0.8347667959049835,8.206389829907947
DO_NOTHING,0,1,5,9,2407.0,3028.0,0.85,0.68,0.03,0.30721584421433495,8.513605674122282
DO_NOTHING,0,1,5,9,1948.0,2456.0,1.1,0.63,0.04,0.19895331298475122,8.712558987107032
DO_NOTHING,0,1,5,9,2619.0,3495.0,1.05,0.75,0.04,0.3470157526367851,9.059574739743818
DO_NOTHING,0,1,5,9,3848.0,5079.0,0.92,0.76,0.03,0.5799127897088022,9.63948752945262
DO_NOTHING,0,1,5,9,3794.0,4986.0,0.87,0.76,0.03,0.5726483147104408,10.21213584416306
DO_NOTHING,0,1,5,9,2407.0,3028.0,0.85,0.68,0.03,0.30721584421433495,10.519351688377395
DO_NOTHING,0,1,5,9,2366.0,3107.0,0.83,0.75,0.03,0.3194986237753348,10.83885031215273
DO_NOTHING,0,1,5,9,3794.0,4986.0,0.87,0.76,0.03,0.5726483147104408,11.41149862686317
DO_NOTHING,0,1,5,9,2391.0,3133.0,1.08,0.75,0.04,0.29338427307804865,11.704882899941218
