action,replica,cpu,heap,inc_tps,out_tps,cpu_usage,memory_usage,cost,reward,sum_reward,response_time,num_request,num_failures,expected_tps
DO_NOTHING,9,1,7,8,11,0.067,1.037,0.05861,0.15077142857142856,0.15077142857142856,389.3,2.4,0,50
DO_NOTHING,9,1,7,11,14,0.062,1.047,0.05756,0.15204571428571426,0.3028171428571428,399.28,2.57,0,50
INCREASE_HEAP,9,1,8,9,12,0.064,1.126,0.06115,0.13963499999999995,0.44245214285714274,521.5,2.07,0,50
INCREASE_HEAP,9,1,9,9,12,0.069,1.192,0.06508,0.1484222222222222,0.590874365079365,349.02,2.65,0,50
DECREASE_HEAP,9,1,8,14,18,0.066,1.063,0.05931,0.13057749999999999,0.721451865079365,591.23,1.73,0,50
INCREASE_HEAP,9,1,9,10,13,0.069,1.184,0.06478,0.11953777777777776,0.8409896428571427,998.43,1.07,0,50
INCREASE_HEAP,9,1,9,,,,,,-1,-0.15901035714285727,,,,
INCREASE_HEAP,9,1,9,,,,,,-1,-1.1590103571428574,,,,
DECREASE_HEAP,9,1,8,9,11,0.065,1.133,0.0617,0.13085249999999998,-1.0281578571428573,715.19,1.53,0,50
INCREASE_HEAP,9,1,9,10,13,0.068,1.195,0.06491,0.14718888888888887,-0.8809689682539685,389.34,2.6,0,50
DECREASE_HEAP,9,1,8,10,14,0.065,1.101,0.06048,0.15405249999999998,-0.7269164682539686,347.55,2.93,0,50
DECREASE_HEAP,9,1,7,9,12,0.068,1.053,0.0595,0.15385428571428567,-0.5730621825396829,390.51,2.48,0,50
DECREASE_HEAP,9,1,6,10,13,0.065,1.006,0.05685,0.1651133333333333,-0.40794884920634955,379.55,2.71,0,50
INCREASE_HEAP,9,1,7,9,12,0.074,1.043,0.06083,0.13076,-0.27718884920634956,960.8,1.07,0,50
INCREASE_HEAP,9,1,8,10,13,0.07,1.143,0.0635,0.16043749999999998,-0.11675134920634958,326.59,3.0,0,50
INCREASE_HEAP,9,1,9,10,13,0.064,1.162,0.06252,0.12661555555555554,0.009864206349205956,542.1,1.67,0,50
DECREASE_HEAP,9,1,8,10,13,0.074,1.123,0.06388,0.13364749999999997,0.14351170634920593,687.25,1.47,0,50
INCREASE_HEAP,9,1,9,9,11,0.07,1.185,0.0651,0.1386333333333333,0.28214503968253923,451.41,2.1,0,50
INCREASE_CPU,9,2,9,19,23,0.138,0.983,0.07675,0.2019711111111111,0.48411615079365033,157.25,6.27,0,50
DECREASE_REPLICA,8,2,9,15,19,0.131,1.073,0.0695,0.48836111111111113,0.9724772619047615,40.21,22.0,0,50
DO_NOTHING,8,2,9,30,37,0.106,1.084,0.06355,0.5352822222222222,1.5077594841269837,33.3,24.92,0,50
DO_NOTHING,8,2,9,30,37,0.106,1.084,0.06355,0.6231222222222221,2.130881706349206,25.12,29.8,0,50
INCREASE_CPU,8,3,9,36,44,0.211,0.794,0.08027,0.6469977777777778,2.7778794841269834,24.56,31.54,0,50
DO_NOTHING,8,3,9,36,44,0.211,0.794,0.08027,0.7548177777777778,3.532697261904761,18.75,37.53,0,50
DO_NOTHING,8,3,9,36,44,0.145,0.794,0.06358,0.7438177777777778,4.276515039682539,18.12,37.53,0,50
DO_NOTHING,8,3,9,49,59,0.145,0.815,0.06429,0.7601044444444444,5.036619484126983,17.87,38.37,0,50
DO_NOTHING,8,3,9,49,59,0.145,0.815,0.06429,0.7750444444444444,5.811663928571427,16.57,39.2,0,50
DO_NOTHING,8,3,9,49,59,0.111,0.815,0.0557,0.8257177777777778,6.637381706349204,14.07,42.33,0,50
DO_NOTHING,8,3,9,51,62,0.111,0.821,0.0559,0.756751111111111,7.394132817460315,17.04,38.48,0,50
DECREASE_HEAP,8,3,8,30,38,0.227,0.67,0.08012,0.5189083333333333,7.9130411507936484,35.61,24.4,0,50
INCREASE_HEAP,8,3,9,29,36,0.234,0.723,0.08368,0.5531066666666666,8.466147817460316,31.76,26.33,0,50
DO_NOTHING,8,3,9,29,36,0.211,0.723,0.07787,0.6129933333333333,9.07914115079365,27.16,29.87,0,50
DO_NOTHING,8,3,9,37,46,0.211,0.762,0.07919,0.7075,9.786641150793649,20.42,35.0,0,50
DO_NOTHING,8,3,9,37,46,0.211,0.762,0.07919,0.7399,10.52654115079365,19.26,36.8,0,50
DO_NOTHING,8,3,9,37,46,0.133,0.762,0.05946,0.7184400000000001,11.244981150793649,19.13,36.33,0,50
DO_NOTHING,8,3,9,49,59,0.133,0.767,0.05963,0.7201577777777777,11.965138928571427,18.99,36.41,0,50
DO_NOTHING,8,3,9,49,59,0.133,0.767,0.05963,0.7079177777777779,12.673056706349206,19.06,35.73,0,50
DO_NOTHING,8,3,9,49,59,0.107,0.767,0.05306,0.7827844444444444,13.45584115079365,15.14,40.13,0,50
DO_NOTHING,8,3,9,50,61,0.107,0.777,0.0534,0.78784,14.24368115079365,15.9,40.38,0,50
DO_NOTHING,8,3,9,50,61,0.107,0.777,0.0534,0.8278,15.07148115079365,13.57,42.6,0,50
DO_NOTHING,8,3,9,50,61,0.099,0.777,0.05137,0.7413266666666666,15.812807817460316,17.08,37.87,0,50
DECREASE_HEAP,8,3,8,27,33,0.219,0.735,0.0803,0.4530575,16.265865317460317,42.49,20.59,0,50
