replica,cpu,heap,previous_tps,instant_tps
2,4,8,0.0,34.4
1,4,8,34.4,47.53
2,4,8,47.53,18.36
1,4,8,18.36,44.94
1,5,8,44.94,32.1
1,5,9,32.1,36.8
2,5,9,36.8,32.62
2,4,9,32.62,33.53
2,5,9,33.53,40.53
2,4,9,40.53,31.66
2,4,9,31.66,35.47
1,4,9,35.47,45.4
1,4,8,45.4,27.88
1,4,7,27.88,27.06
1,4,6,27.06,28.6
1,5,6,28.6,33.34
1,5,6,28.6,33.34
1,5,5,33.34,38.66
2,5,5,38.66,28.1
1,5,5,28.1,47.66
1,4,5,47.66,20.27
1,4,5,20.27,31.27
1,4,6,31.27,30.47
1,4,7,30.47,20.95
1,4,7,30.47,20.95
1,4,8,20.95,28.52
1,4,8,28.52,35.66
1,4,8,28.52,35.66
1,4,8,28.52,35.66
1,4,8,28.52,35.66
1,4,7,35.66,20.06
1,4,7,20.06,30.88
1,4,7,30.88,31.27
1,4,7,30.88,31.27
1,4,6,31.27,26.9
1,4,5,26.9,20.0
1,4,6,20.0,26.4
2,4,6,26.4,23.3
2,4,5,23.3,32.2
1,4,5,32.2,40.66
2,4,5,40.66,25.42
2,5,5,25.42,41.94
2,5,5,41.94,37.84
2,5,6,37.84,41.97
3,5,6,41.97,35.03
3,4,6,35.03,35.72
2,4,6,35.72,42.53
2,4,5,42.53,33.28
3,4,5,33.28,30.19
2,4,5,30.19,44.34
2,4,5,44.34,44.0
2,4,5,44.0,47.3
2,5,5,47.3,40.38
2,6,5,40.38,45.2
2,7,5,45.2,45.1
3,7,5,45.1,46.88
3,7,6,46.88,47.3
2,7,6,47.3,47.12
2,6,6,47.12,44.75
3,6,6,44.75,42.34
3,6,5,42.34,44.38
3,5,5,44.38,41.1
3,6,5,41.1,43.94
3,6,5,43.94,46.28
4,6,5,46.28,45.6
4,6,6,45.6,45.28
4,7,6,45.28,47.38
4,7,5,47.38,48.3
4,6,5,48.3,45.3
4,6,4,45.3,45.97
4,6,4,45.3,45.97
4,6,4,45.97,44.84
3,6,4,44.84,45.06
2,6,4,45.06,47.28
2,6,4,45.06,47.28
2,6,4,45.06,47.28
2,6,4,47.28,45.28
2,6,5,45.28,44.97
2,5,5,44.97,42.66
1,5,5,42.66,39.66
1,4,5,39.66,18.33
1,5,5,18.33,32.53
1,5,6,32.53,34.06
1,4,6,34.06,25.12
1,4,6,34.06,25.12
2,4,6,25.12,24.84
3,4,6,24.84,23.16
2,4,6,23.16,46.06
3,4,6,46.06,25.83
3,4,5,25.83,37.94
2,4,5,37.94,41.4
2,4,6,41.4,35.0
2,4,6,41.4,35.0
2,4,7,35.0,35.25
2,4,8,35.25,32.25
2,4,9,32.25,35.25
2,4,9,32.25,35.25
2,4,8,35.25,36.25
2,4,9,36.25,33.1
2,4,9,36.25,33.1
1,4,9,33.1,43.88
1,4,9,33.1,43.88
2,4,9,43.88,30.31
2,5,9,30.31,41.88
2,5,9,41.88,40.88
2,4,9,40.88,34.03
2,4,9,34.03,35.72
2,5,9,35.72,41.53
2,4,9,41.53,28.33
1,4,9,28.33,40.22
1,4,9,28.33,40.22
1,4,9,28.33,40.22
1,4,9,28.33,40.22
1,4,9,28.33,40.22
1,5,9,40.22,37.3
1,4,9,37.3,29.2
1,4,9,37.3,29.2
1,5,9,29.2,36.12
1,5,9,36.12,37.4
1,5,8,37.4,32.4
1,6,8,32.4,41.7
1,6,8,41.7,41.44
1,6,8,41.7,41.44
2,6,8,41.44,39.06
2,6,7,39.06,41.9
2,6,8,41.9,44.34
2,6,8,44.34,43.9
2,6,8,43.9,45.34
2,6,7,45.34,43.56
2,7,7,43.56,45.5
2,7,7,45.5,47.72
3,7,7,47.72,46.84
4,7,7,46.84,47.1
4,7,7,47.1,49.03
4,6,7,49.03,46.0
4,6,8,46.0,44.62
4,5,8,44.62,41.44
5,5,8,41.44,43.06
5,5,9,43.06,46.4
5,6,9,46.4,48.12
4,6,9,48.12,46.0
4,6,9,46.0,45.8
3,6,9,45.8,43.6
3,7,9,43.6,46.66
3,6,9,46.66,43.16
2,6,9,43.16,46.66
3,6,9,46.66,42.62
3,7,9,42.62,48.12
2,7,9,48.12,47.88
2,7,8,47.88,45.1
2,7,8,45.1,45.16
2,7,8,45.16,47.53
2,7,7,47.53,46.0
2,7,7,46.0,48.12
3,7,7,48.12,45.75
3,7,6,45.75,47.75
3,7,6,47.75,48.4
3,6,6,48.4,45.44
2,6,6,45.44,47.28
2,6,7,47.28,43.88
2,6,6,43.88,45.97
2,5,6,45.97,40.88
3,5,6,40.88,34.28
4,5,6,34.28,42.38
4,5,5,42.38,45.28
3,5,5,45.28,40.66
3,5,5,40.66,39.06
2,5,5,39.06,46.4
2,5,6,46.4,40.62
2,6,6,40.62,44.72
3,6,6,44.72,43.88
4,6,6,43.88,46.3
4,7,6,46.3,46.38
4,7,6,46.38,49.12
4,7,5,49.12,47.8
4,6,5,47.8,45.22
4,7,5,45.22,47.1
5,7,5,47.1,50.75
6,7,5,50.75,50.03
6,7,4,50.03,48.1
6,7,4,48.1,49.28
6,7,4,48.1,49.28
5,7,4,49.28,51.47
5,7,4,49.28,51.47
4,7,4,51.47,48.16
4,7,4,48.16,48.53
5,7,4,48.53,49.53
5,7,5,49.53,49.8
5,7,4,49.8,49.75
6,7,4,49.75,49.06
5,7,4,49.06,49.94
5,6,4,49.94,49.34
5,6,5,49.34,48.66
5,6,5,48.66,48.94
6,6,5,48.94,46.53
6,5,5,46.53,44.25
6,5,5,44.25,46.03
6,5,4,46.03,43.3
6,5,5,43.3,42.66
6,5,4,42.66,44.4
5,5,4,44.4,47.88
5,4,4,47.88,38.6
5,4,4,38.6,40.2
5,5,4,40.2,45.47
5,4,4,45.47,37.6
5,4,5,37.6,40.16
5,5,5,40.16,47.1
5,6,5,47.1,48.7
5,5,5,48.7,44.6
5,5,5,44.6,47.56
5,6,5,47.56,48.7
6,6,5,48.7,46.5
6,6,6,46.5,46.5
6,6,5,46.5,46.16
6,6,5,46.5,46.16
5,6,5,46.16,49.28
6,6,5,49.28,49.1
6,6,6,49.1,46.47
6,6,6,46.47,47.9
6,6,7,47.9,47.97
5,6,7,47.97,49.12
5,5,7,49.12,43.75
5,4,7,43.75,38.2
5,4,7,38.2,45.7
5,4,8,45.7,41.6
6,4,8,41.6,37.0
6,4,8,41.6,37.0
6,4,9,37.0,36.56
6,4,9,37.0,36.56
5,4,9,36.56,44.2
5,4,9,36.56,44.2
5,4,9,44.2,45.53
5,4,9,44.2,45.53
5,5,9,45.53,46.44
5,4,9,46.44,44.0
6,4,9,44.0,37.94
6,4,9,44.0,37.94
6,4,9,37.94,42.2
6,4,9,42.2,42.4
6,4,9,42.2,42.4
6,4,9,42.2,42.4
6,4,8,42.4,36.62
6,4,8,42.4,36.62
6,4,8,42.4,36.62
6,4,8,42.4,36.62
6,4,8,42.4,36.62
6,4,8,36.62,41.84
6,4,9,41.84,38.2
6,4,9,41.84,38.2
6,4,8,38.2,34.78
6,4,8,38.2,34.78
6,5,8,34.78,43.03
6,4,8,43.03,36.03
6,4,8,43.03,36.03
6,4,7,36.03,37.0
6,4,6,37.0,35.9
6,4,5,35.9,36.72
6,4,6,36.72,36.2
6,4,6,36.72,36.2
6,4,6,36.72,36.2
5,4,6,36.2,46.2
4,4,6,46.2,42.0
4,4,6,46.2,42.0
4,4,6,46.2,42.0
4,4,6,42.0,45.72
4,4,6,42.0,45.72
4,5,6,45.72,43.2
4,4,6,43.2,36.88
3,4,6,36.88,35.72
3,4,6,36.88,35.72
3,4,6,35.72,40.28
4,4,6,40.28,25.4
4,4,5,25.4,40.2
5,4,5,40.2,41.47
5,4,5,41.47,46.56
6,4,5,46.56,42.16
5,4,5,42.16,48.2
5,5,5,48.2,45.12
5,5,6,45.12,47.38
5,6,6,47.38,49.12
5,6,7,49.12,49.75
5,5,7,49.75,46.3
5,5,8,46.3,47.3
5,5,8,47.3,45.94
6,5,8,45.94,42.38
6,5,7,42.38,42.75
6,5,6,42.75,44.5
5,5,6,44.5,48.12
5,5,7,48.12,45.28
5,6,7,45.28,48.22
5,6,7,48.22,49.56
5,5,7,49.56,47.03
6,5,7,47.03,41.4
6,5,8,41.4,47.7
6,5,9,47.7,44.22
6,5,9,47.7,44.22
6,6,9,44.22,46.1
6,6,8,46.1,47.1
5,6,8,47.1,49.06
5,6,8,49.06,50.47
5,5,8,50.47,46.47
6,5,8,46.47,44.62
6,6,8,44.62,47.47
5,6,8,47.47,48.53
5,6,7,48.53,49.84
5,6,7,49.84,48.97
6,6,7,48.97,47.6
6,5,7,47.6,40.94
5,5,7,40.94,48.88
4,5,7,48.88,43.12
4,5,6,43.12,43.38
3,5,6,43.38,41.94
3,5,7,41.94,42.0
2,5,7,42.0,46.0
2,5,7,46.0,45.06
2,6,7,45.06,46.25
2,6,7,46.25,43.84
2,6,7,43.84,41.8
1,6,7,41.8,50.06
2,6,7,50.06,45.53
2,7,7,45.53,46.4
2,8,7,46.4,47.5
2,8,7,47.5,48.12
2,8,7,48.12,48.2
2,8,8,48.2,46.94
1,8,8,46.94,45.06
2,8,8,45.06,47.34
1,8,8,47.34,49.8
1,8,8,47.34,49.8
1,7,8,49.8,43.38
1,7,7,43.38,43.47
1,6,7,43.47,40.03
1,7,7,40.03,42.8
1,7,7,40.03,42.8
2,7,7,42.8,46.12
2,8,7,46.12,47.53
2,7,7,47.53,47.25
3,7,7,47.25,46.9
4,7,7,46.9,48.22
5,7,7,48.22,50.6
5,8,7,50.6,49.75
5,9,7,49.75,50.78
4,9,7,50.78,49.47
3,9,7,49.47,49.28
3,9,8,49.28,49.75
3,9,8,49.28,49.75
3,9,7,49.75,50.1
2,9,7,50.1,48.8
2,9,8,48.8,49.53
2,9,7,49.53,49.84
3,9,7,49.84,49.66
2,9,7,49.66,50.0
2,9,6,50.0,49.78
3,9,6,49.78,49.88
3,8,6,49.88,48.8
3,8,5,48.8,48.8
3,7,5,48.8,47.8
3,8,5,47.8,49.1
3,8,6,49.1,49.62
3,8,6,49.62,50.12
3,8,7,50.12,49.66
4,8,7,49.66,49.4
3,8,7,49.4,48.72
2,8,7,48.72,50.12
3,8,7,50.12,50.0
3,8,7,50.0,50.12
3,8,6,50.12,49.34
3,9,6,49.34,49.25
4,9,6,49.25,50.56
4,9,6,49.25,50.56
4,8,6,50.56,49.34
4,8,7,49.34,48.62
4,8,8,48.62,48.75
4,9,8,48.75,50.03
4,9,7,50.03,49.78
4,9,6,49.78,50.0
4,9,7,50.0,50.22
4,9,7,50.22,50.22
4,9,7,50.22,50.06
