replica,cpu,heap,previous_tps,instant_tps,reward
2,1,1,0.0,0.8,0.3663999999999999
2,1,1,0.0,0.8,-1.0
3,1,1,0.8,0.87,0.3421599999999998
4,1,1,0.87,1.73,0.3796399999999999
4,1,1,1.73,1.84,0.3731199999999998
4,1,2,1.84,1.71,0.2285299999999999
4,1,2,1.71,2.33,0.2396899999999999
4,1,2,1.71,2.33,-1.0
4,1,2,2.33,2.96,0.2510299999999999
4,1,1,2.96,1.0,0.3629999999999999
3,1,1,1.0,1.13,0.3823399999999999
3,1,1,1.13,1.47,0.3714599999999999
3,1,1,1.47,1.72,0.3789599999999998
3,1,2,1.72,3.43,0.26424
3,1,2,3.43,1.8,0.2346499999999999
3,1,1,1.8,1.07,0.3477599999999999
3,1,2,1.07,1.07,0.2367599999999999
3,1,2,1.07,1.53,0.2405399999999999
3,1,2,1.53,2.48,0.2558899999999999
4,1,2,2.48,1.6,0.2472999999999999
4,2,2,1.6,7.13,0.2970899999999999
4,2,2,7.13,11.37,0.37866
4,2,1,11.37,2.87,0.3186599999999999
5,2,1,2.87,8.13,0.4120899999999999
5,2,1,8.13,6.3,0.3851499999999999
5,2,1,8.13,6.3,-1.0
5,2,1,6.3,7.67,0.4098099999999999
5,2,1,6.3,7.67,-1.0
5,2,1,7.67,7.33,0.3981899999999999
5,2,1,7.33,11.37,0.4729099999999999
5,2,1,11.37,13.67,0.5143099999999999
5,2,1,13.67,16.4,0.5607
5,2,1,16.4,21.28,0.6555399999999999
6,2,1,21.28,6.47,0.3957099999999999
5,2,1,6.47,26.06,0.75126
5,2,1,26.06,24.47,0.72246
4,2,1,24.47,19.94,0.6339899999999999
3,2,1,19.94,26.9,0.7682
4,2,1,26.9,4.8,0.3663999999999999
4,2,2,4.8,5.0,0.2732499999999999
4,2,2,5.0,5.8,0.2876499999999999
4,2,1,5.8,2.6,0.3225499999999999
3,2,1,2.6,13.19,0.5151699999999999
3,2,1,13.19,12.0,0.4937499999999999
4,2,1,12.0,5.07,0.3835099999999999
4,2,2,5.07,4.8,0.2641499999999999
4,3,2,4.8,19.6,0.5211333333333333
4,3,2,19.6,32.7,0.7625733333333333
4,3,3,32.7,31.11,0.69448
3,3,3,31.11,31.0,0.6883333333333334
3,3,3,31.0,33.66,0.7363933333333333
3,3,3,33.66,36.53,0.78304
4,3,3,36.53,14.33,0.3902733333333333
3,3,3,14.33,46.06,0.95626
3,3,3,46.06,44.47,0.92746
3,3,3,44.47,40.28,0.8465266666666666
4,3,3,40.28,25.8,0.5909
3,3,3,25.8,47.84,0.9821066666666668
3,3,3,47.84,44.53,0.9227066666666666
3,3,3,44.53,45.72,0.9433066666666666
3,3,3,45.72,47.66,0.9790466666666668
3,3,3,47.66,47.28,0.9720266666666668
3,3,3,47.28,44.72,0.9273066666666666
3,3,2,44.72,21.4,0.5611166666666666
3,3,1,21.4,19.94,0.6140733333333332
2,3,1,19.94,31.88,0.8506599999999999
2,3,1,31.88,38.4,0.9615333333333334
2,3,1,38.4,37.12,0.9386733333333332
2,3,1,37.12,37.66,0.9518933333333331
2,3,1,37.66,35.72,0.9169733333333332
2,3,1,35.72,38.6,0.9724666666666666
2,3,1,38.6,36.0,0.9256666666666666
2,3,1,36.0,37.53,0.9562066666666666
2,3,1,37.53,42.0,1.0366666666666666
2,3,1,42.0,40.88,1.01416
2,3,1,40.88,40.1,1.0028
1,3,1,40.1,36.2,0.9274333333333332
1,3,1,40.1,36.2,-1.0
1,3,1,36.2,45.0,1.0933333333333333
1,3,1,45.0,42.06,1.0405933333333333
1,3,1,42.06,43.53,1.0753733333333333
1,3,1,43.53,46.72,1.1329733333333332
1,3,1,46.72,44.4,1.0960333333333332
1,3,1,44.4,44.34,1.0947733333333334
1,3,1,44.4,44.34,-1.0
2,3,1,44.34,10.95,0.4759333333333332
1,3,1,10.95,47.12,1.14084
1,3,1,47.12,42.53,1.0585399999999998
1,3,1,47.12,42.53,-1.0
1,2,1,42.53,2.13,0.2815899999999999
2,2,1,2.13,2.76,0.3541799999999999
2,2,1,2.76,3.33,0.3644399999999999
2,2,1,3.33,3.73,0.3701399999999999
2,2,1,3.73,4.07,0.3807599999999999
2,2,1,4.07,3.87,0.3771599999999999
2,2,1,3.87,9.27,0.4583599999999999
2,2,1,9.27,12.76,0.5246799999999999
2,2,1,12.76,10.8,0.4893999999999999
1,2,1,10.8,24.88,0.7639099999999999
1,2,1,10.8,24.88,-1.0
1,2,1,24.88,25.2,0.7698499999999999
1,2,1,25.2,32.4,0.9157
1,2,1,32.4,32.47,0.91696
1,2,1,32.47,33.53,0.93604
1,2,1,33.53,35.72,0.97564
1,2,1,35.72,36.0,0.99175
1,2,1,36.0,34.38,0.96891
1,2,1,34.38,36.8,1.0126499999999998
1,2,1,36.8,27.8,0.8506499999999999
1,2,1,36.8,27.8,-1.0
1,2,1,36.8,27.8,-1.0
1,2,1,27.8,31.33,0.91144
1,2,1,31.33,35.12,0.98634
1,2,1,35.12,36.2,1.0055999999999998
2,2,1,36.2,2.47,0.3499599999999999
1,2,1,2.47,38.53,1.0472899999999998
1,2,1,38.53,40.2,1.07735
1,2,1,40.2,34.53,0.96854
1,2,1,34.53,38.72,1.0441399999999998
1,2,1,38.72,38.66,1.04456
1,2,1,38.66,36.72,1.00964
1,2,1,36.72,39.72,1.0713899999999998
1,2,1,39.72,38.78,1.05429
1,2,1,38.78,38.8,1.05465
1,2,1,38.8,38.28,1.04511
1,2,1,38.28,39.53,1.06604
1,2,1,39.53,39.28,1.06136
1,2,1,39.28,38.88,1.05416
1,2,1,38.88,39.53,1.06604
1,2,1,39.53,38.53,1.0490399999999998
1,2,1,38.53,38.72,1.05314
1,2,1,38.72,38.72,1.05314
1,2,2,38.72,2.4,0.2221999999999999
1,2,2,38.72,2.4,-1.0
1,2,1,2.4,1.73,0.28289
1,3,1,1.73,7.4,0.4015333333333333
1,3,1,7.4,9.6,0.4411333333333333
1,3,1,9.6,16.06,0.55776
1,3,1,16.06,19.53,0.6200399999999999
1,3,1,19.53,17.06,0.6102599999999999
1,3,1,17.06,23.27,0.72186
1,3,1,23.27,21.2,0.6844333333333332
1,3,1,23.27,21.2,-1.0
1,3,1,21.2,19.06,0.6460933333333333
1,3,1,19.06,23.06,0.7300933333333333
1,3,1,23.06,31.12,0.8751733333333334
1,3,1,31.12,32.6,0.9001333333333332
1,3,1,32.6,28.53,0.8268733333333332
1,3,1,28.53,30.67,0.8983933333333332
1,3,1,30.67,36.94,1.0110733333333333
1,3,1,36.94,41.34,1.0856066666666666
1,3,1,41.34,40.97,1.0754466666666669
1,3,1,41.34,40.97,-1.0
1,3,1,40.97,36.12,0.9885066666666666
1,4,1,36.12,24.12,0.68509
1,5,1,24.12,33.47,0.8597599999999999
1,5,1,33.47,30.47,0.80576
1,5,1,33.47,30.47,-1.0
1,5,1,30.47,36.0,0.9158
1,5,1,36.0,31.06,0.8270599999999999
1,5,1,36.0,31.06,-1.0
1,6,1,31.06,38.56,0.9538433333333332
1,6,1,38.56,41.0,0.9975833333333332
1,6,1,41.0,32.72,0.8837233333333332
1,7,1,32.72,41.53,1.0262914285714286
1,7,1,41.53,45.72,1.1017114285714285
1,7,1,45.72,42.47,1.0705314285714285
1,7,1,42.47,48.6,1.1808714285714286
1,7,1,48.6,48.06,1.1598314285714286
1,7,1,48.06,48.47,1.1670314285714285
1,7,1,48.47,47.47,1.1685314285714283
1,7,1,47.47,49.53,1.2056114285714283
1,7,1,49.53,48.88,1.1842314285714286
1,7,1,48.88,46.4,1.1397714285714289
1,7,1,46.4,49.28,1.1959314285714284
1,7,1,49.28,49.0,1.1910714285714286
1,7,1,49.0,47.47,1.1604599999999998
1,7,1,47.47,46.88,1.14966
1,7,1,46.88,49.4,1.1991999999999998
1,7,1,49.4,48.4,1.1811999999999998
1,7,1,48.4,48.6,1.183942857142857
1,7,1,48.6,49.53,1.203002857142857
1,8,1,49.53,46.94,1.0751625
1,8,1,46.94,47.78,1.1266025
1,8,1,47.78,49.88,1.1642225
1,8,1,49.88,49.0,1.1485625
1,8,1,49.0,48.34,1.120565
1,8,1,48.34,48.88,1.131785
1,8,1,48.88,49.53,1.143665
1,8,1,49.53,48.8,1.130525
1,8,1,48.8,48.94,1.127115
1,8,1,48.94,48.88,1.137535
1,8,1,48.88,49.6,1.150675
1,8,1,49.6,48.12,1.124215
1,8,1,48.12,49.53,1.14929
1,8,1,49.53,49.4,1.15895
1,8,1,49.4,49.4,1.15895
1,8,1,49.4,49.72,1.16489
1,8,1,49.72,49.94,1.1669275
1,8,1,49.94,49.6,1.1609875
1,8,1,49.6,49.72,1.1633274999999998
1,8,1,49.72,49.94,1.1654275
1,8,1,49.94,49.4,1.1558875
1,8,1,49.4,49.66,1.1612475
1,8,1,49.66,49.12,1.1515275
1,8,1,49.12,49.94,1.165615
1,8,1,49.94,49.4,1.156075
1,8,1,49.4,49.53,1.158915
1,8,1,49.53,49.2,1.152975
1,8,1,49.2,49.4,1.1571375
1,8,1,49.4,49.6,1.1607375
1,8,1,49.6,50.06,1.1696975
1,8,1,50.06,49.4,1.1576375
1,8,1,49.4,49.88,1.166035
1,8,1,49.88,49.66,1.162435
1,8,1,49.66,50.0,1.169375
1,8,1,50.0,49.66,1.1634349999999998
1,8,1,49.66,49.88,1.1663475
1,8,1,49.88,49.53,1.1602275
1,8,1,49.53,49.8,1.1650874999999998
1,8,1,49.8,49.8,1.1650874999999998
1,8,1,49.8,49.88,1.1660975
1,8,1,49.88,49.84,1.1655575
1,8,1,49.84,49.72,1.1635775
1,8,1,49.72,49.72,1.1635775
1,8,1,49.72,49.8,1.165025
1,8,1,49.8,49.6,1.161925
1,8,1,49.6,49.53,1.1606649999999998
1,8,1,49.53,49.94,1.167865
1,8,1,49.94,49.53,1.160415
1,8,1,49.53,50.0,1.168875
1,8,1,50.0,49.53,1.160415
1,8,1,49.53,49.66,1.1629349999999998
1,8,1,49.66,49.88,1.1664725
1,8,1,49.88,49.2,1.1549125
1,8,1,49.2,49.53,1.1608524999999998
1,8,1,49.53,49.4,1.1585125
1,8,1,49.4,49.6,1.1624875
1,8,1,49.6,50.06,1.1709475
1,8,1,50.06,49.6,1.1624875
1,8,1,49.6,49.2,1.1552875
1,8,1,49.2,49.94,1.16824
1,8,1,49.94,49.6,1.1623
1,8,1,49.6,50.0,1.1695
1,8,1,50.0,49.88,1.16741
1,8,1,49.88,50.47,1.17839
1,8,1,50.47,49.4,1.15895
1,8,1,49.4,49.8,1.16615
1,8,1,49.8,49.94,1.1681775
1,8,1,49.94,49.4,1.1591375
1,8,1,49.4,49.94,1.1686775
1,8,1,49.94,49.2,1.1555375
1,8,1,49.2,49.47,1.1605225
1,8,1,49.47,48.94,1.1508025
1,8,1,48.94,49.72,1.1652025
1,8,1,49.72,49.6,1.1628625
1,8,1,49.6,49.94,1.1686775
1,8,1,49.94,50.06,1.1711975
1,8,1,50.06,49.88,1.1675974999999998
1,8,1,49.88,49.47,1.1603974999999995
1,8,1,49.47,50.28,1.175165
1,8,1,50.28,49.47,1.1605849999999998
1,8,1,49.47,49.6,1.162925
1,8,1,49.6,50.0,1.1699375
1,8,1,50.0,49.47,1.1608975
1,8,1,49.47,49.94,1.1691775
1,8,1,49.94,50.06,1.1716975
1,8,1,50.06,49.8,1.16665
1,8,1,49.8,49.6,1.16305
1,8,1,49.6,49.94,1.16899
1,8,1,49.94,49.72,1.16539
1,8,1,49.72,49.72,1.1650775
1,8,1,49.72,49.6,1.1627375
1,8,1,49.6,49.66,1.1639974999999998
1,8,1,49.66,49.8,1.1663375
1,8,1,49.8,49.66,1.1641849999999998
1,8,1,49.66,49.72,1.165265
1,8,1,49.72,49.8,1.166525
1,8,1,49.8,49.4,1.159325
1,8,1,49.4,49.47,1.1608975
1,8,1,49.47,49.72,1.1660775
1,8,1,49.72,49.4,1.1601374999999998
1,8,1,49.4,49.72,1.1660775
1,8,1,49.72,50.25,1.1752574999999998
1,8,1,50.25,49.8,1.1673375
1,8,1,49.8,49.88,1.1685975
1,8,1,49.88,49.72,1.1664525
1,8,1,49.72,49.6,1.1641125
1,8,1,49.6,49.8,1.1677125
1,8,1,49.8,49.4,1.1605124999999998
1,8,1,49.4,50.06,1.171885
1,8,1,50.06,49.66,1.164685
1,8,1,49.66,49.66,1.164685
1,8,1,49.66,49.6,1.163425
1,8,1,49.6,49.53,1.1622275
1,8,1,49.53,49.72,1.1663275
