action,replica,cpu,heap,inc_tps,out_tps,cpu_usage,memory_usage,cost,reward,sum_reward,response_time,num_request,num_failures,expected_tps
DO_NOTHING,2,1,1,24,35,0.098,0.606,0.00567,0.3663999999999999,0.3663999999999999,1258.29,0.8,0,50
DECREASE_HEAP,2,1,1,,,,,,-1,-0.6336000000000002,,,,
INCREASE_REPLICA,3,1,1,14,19,0.085,0.568,0.01528,0.34215999999999985,-0.2914400000000003,1202.58,0.87,0,50
INCREASE_REPLICA,4,1,1,20,26,0.071,0.626,0.01469,0.3796399999999999,0.08819999999999961,571.79,1.73,0,50
DO_NOTHING,4,1,1,14,18,0.077,0.603,0.01996,0.37311999999999984,0.46131999999999945,549.75,1.84,0,50
INCREASE_HEAP,4,1,2,12,16,0.083,0.625,0.02109,0.22852999999999996,0.6898499999999994,557.02,1.71,0,50
DO_NOTHING,4,1,2,14,18,0.077,0.637,0.0154,0.23968999999999996,0.9295399999999994,409.23,2.33,0,50
DECREASE_CPU,4,1,2,,,,,,-1,-0.07046000000000063,,,,
DO_NOTHING,4,1,2,13,17,0.078,0.635,0.02062,0.2510299999999999,0.1805699999999993,349.49,2.96,0,50
DECREASE_HEAP,4,1,1,12,16,0.097,0.593,0.01674,0.36299999999999993,0.5435699999999992,992.95,1.0,0,50
DECREASE_REPLICA,3,1,1,11,15,0.096,0.628,0.01139,0.3823399999999999,0.9259099999999991,788.88,1.13,0,50
DO_NOTHING,3,1,1,11,15,0.097,0.593,0.01674,0.3714599999999999,1.297369999999999,690.12,1.47,0,50
DO_NOTHING,3,1,1,12,17,0.097,0.599,0.01681,0.37895999999999985,1.6763299999999988,590.63,1.72,0,50
INCREASE_HEAP,3,1,2,17,21,0.081,0.648,0.01592,0.26424,1.9405699999999988,289.41,3.43,0,50
DO_NOTHING,3,1,2,15,19,0.081,0.647,0.01591,0.23464999999999997,2.1752199999999986,561.27,1.8,0,50
DECREASE_HEAP,3,1,1,15,20,0.08,0.577,0.00995,0.3477599999999999,2.5229799999999987,954.61,1.07,0,50
INCREASE_HEAP,3,1,2,17,22,0.075,0.72,0.01084,0.23675999999999994,2.7597399999999985,952.06,1.07,0,50
DO_NOTHING,3,1,2,17,22,0.066,0.72,0.01027,0.24053999999999995,3.0002799999999983,648.75,1.53,0,50
DO_NOTHING,3,1,2,11,16,0.079,0.687,0.01622,0.25588999999999995,3.2561699999999982,401.18,2.48,0,50
INCREASE_REPLICA,4,1,2,23,30,0.074,0.726,0.01625,0.24729999999999994,3.5034699999999983,616.54,1.6,0,50
INCREASE_CPU,4,2,2,20,26,0.156,0.519,0.02852,0.29708999999999997,3.800559999999998,136.51,7.13,0,50
DO_NOTHING,4,2,2,28,36,0.162,0.534,0.02953,0.37866,4.179219999999998,83.4,11.37,0,50
DECREASE_HEAP,4,2,1,22,27,0.17,0.449,0.02911,0.31865999999999994,4.4978799999999985,346.63,2.87,0,50
INCREASE_REPLICA,5,2,1,40,50,0.133,0.465,0.03087,0.41208999999999996,4.909969999999999,116.76,8.13,0,50
DO_NOTHING,5,2,1,33,41,0.133,0.477,0.03113,0.38514999999999994,5.295119999999999,157.88,6.3,0,50
DECREASE_HEAP,5,2,1,,,,,,-1,4.295119999999999,,,,
DO_NOTHING,5,2,1,33,41,0.133,0.477,0.03113,0.40980999999999995,4.704929999999999,126.65,7.67,0,50
DECREASE_HEAP,5,2,1,,,,,,-1,3.704929999999999,,,,
