action,replica,cpu,heap,inc_tps,out_tps,cpu_usage,memory_usage,cost,reward,sum_reward,response_time,num_request,num_failures,expected_tps
DECREASE_HEAP,1,9,8,400,443,0.5,0.55,0.02,0.9234527785228358,0.9234527785228358,9.307853889222429,957,0,1000
DECREASE_REPLICA,1,9,8,414,458,0.5,0.67,0.02,-1,-0.0765472214771642,7.399924429914644,992,0,1000
DECREASE_HEAP,1,9,7,358,431,0.54,0.57,0.02,0.7745142863954817,0.6979670649183175,17.354020105717737,782,0,1000
DECREASE_HEAP,1,9,6,220,248,0.67,0.51,0.02,0.8141222223546769,1.5120892872729943,15.65440420481358,816,0,1000
INCREASE_CPU,1,9,6,416,459,0.67,0.59,0.02,-1,0.5120892872729943,8.102842774640894,981,0,1000
DECREASE_REPLICA,1,9,6,416,459,0.67,0.59,0.02,-1,-0.4879107127270057,7.1973003096528,999,0,1000
INCREASE_HEAP,1,9,7,247,305,0.61,0.55,0.02,0.9092746048208268,0.4213638920938211,10.20074226824312,929,0,1000
INCREASE_REPLICA,2,9,7,207,244,0.37,0.61,0.03,0.8507269854136875,1.2720908775075086,12.818274646571217,874,0,1000
DO_NOTHING,2,9,7,218,261,0.37,0.65,0.03,0.9489841255460467,2.2210750030535555,8.409004590036918,980,0,1000
DECREASE_REPLICA,1,9,7,198,242,0.17,0.68,0.01,0.956215873626111,3.177290876679667,7.193856121401091,998,0,1000
DECREASE_REPLICA,1,9,7,349,417,0.13,0.69,0.01,-1,2.177290876679667,7.247391238448483,993,0,1000
INCREASE_CPU,1,9,7,349,417,0.13,0.69,0.01,-1,1.1772908766796668,7.280719526592763,992,0,1000
INCREASE_REPLICA,2,9,7,218,262,0.29,0.62,0.02,0.8892968252738318,2.0665877019534986,11.391636390687976,921,0,1000
DECREASE_REPLICA,1,9,7,240,287,0.11,0.69,0.01,0.9553968251934127,3.0219845271469112,7.0121492045000196,1000,0,1000
INCREASE_HEAP,1,9,8,406,435,0.52,0.57,0.02,0.9222138873822159,3.944198414529127,10.50426488486192,953,0,1000
DECREASE_REPLICA,1,9,8,425,455,0.52,0.62,0.02,-1,2.944198414529127,7.914014905504696,999,0,1000
