action,replica,cpu,heap,inc_tps,out_tps,cpu_usage,memory_usage,cost,reward,sum_reward,response_time,num_request,num_failures,expected_tps
DO_NOTHING,2,4,8,6,8,0.041,0.649,0.00809,0.6648875,0.6648875,19.66,34.4,0,50
DECREASE_REPLICA,1,4,8,101,126,0.048,0.671,0.00436,0.9034774999999999,1.568365,9.22,47.53,0,50
INCREASE_REPLICA,2,4,8,182,216,0.284,0.644,0.02341,0.40623000000000004,1.974595,47.68,18.36,0,50
DECREASE_REPLICA,1,4,8,211,251,0.168,0.701,0.00828,0.8735525,2.8481475,10.25,44.93,0,50
INCREASE_CPU,1,5,8,37,51,0.5,0.628,0.01847,0.66687,3.5150175,23.25,32.09,0,50
INCREASE_HEAP,1,5,9,24,35,0.478,0.581,0.01757,0.7426577777777778,4.2576752777777775,17.99,36.81,0,50
INCREASE_REPLICA,2,5,9,170,205,0.387,0.636,0.02986,0.6615533333333333,4.9192286111111105,22.09,32.64,0,50
DECREASE_CPU,2,4,9,84,104,0.315,0.664,0.02554,0.6796238888888889,5.5988525,21.57,33.52,0,50
INCREASE_CPU,2,5,9,142,181,0.422,0.595,0.03172,0.8046155555555555,6.403468055555555,15.03,40.52,0,50
DECREASE_CPU,2,4,9,109,142,0.36,0.614,0.02796,0.6489911111111112,7.052459166666666,23.31,31.66,0,50
DO_NOTHING,2,4,9,109,142,0.36,0.614,0.02796,0.7175711111111112,7.770030277777777,18.79,35.47,0,50
DECREASE_REPLICA,1,4,9,278,322,0.187,0.694,0.00885,0.8791305555555555,8.649160833333333,10.17,45.4,0,50
DECREASE_HEAP,1,4,8,13,19,0.4,0.507,0.01479,0.5835275,9.232688333333334,28.03,27.88,0,50
DECREASE_HEAP,1,4,7,5,6,0.391,0.496,0.01446,0.5715635714285714,9.804251904761905,29.86,27.07,0,50
DECREASE_HEAP,1,4,6,78,108,0.4,0.576,0.01508,0.6127999999999999,10.417051904761905,26.95,28.6,0,50
INCREASE_CPU,1,5,6,3,4,0.5,0.476,0.01782,0.6896066666666667,11.106658571428571,21.73,33.33,0,50
DECREASE_REPLICA,1,5,6,,,,,,-1,10.106658571428571,,,,
DECREASE_HEAP,1,5,5,2,2,0.499,0.447,0.01767,0.79066,10.897318571428572,16.21,38.67,0,50
