episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,0,0,0,6234,6234,6234,6234,2,2,0.0051829069542559305,0.0051829069542559305,6234,2,6234,False,0,1,default,2023-10-24_14-52-59,1698148379,385.88405442237854,385.88405442237854,412163,rancher-rd-bastion,10.27.41.23,385.88405442237854,1,6234,6234,6234,6234,nan,nan,nan,nan,0,0,[],[],385883.786,385338.841,0.3,6668.21,543.874,3.677,0.014,6234,6234,6234,6234,6.999455535390199,47.12867513611616,[],[],1.0,30.5,29.5,0.0,123.84898141225179,9.60196528714064e-184,5.0000000000000016e-05,1.1840940644343694,0.00027951101462046307,1.183814554727481,nan,4.189553881891091e-06,0.6498893896738688,0.0
nan,nan,nan,nan,0,0,0,0,0,6236,6236,6236,6236,2,2,4.305126568116454,4.305126568116454,6236,2,6236,False,0,2,default,2023-10-24_14-52-59,1698148379,0.4647707939147949,386.34882521629333,412163,rancher-rd-bastion,10.27.41.23,386.34882521629333,2,6236,6236,6236,6236,nan,nan,nan,nan,0,0,[],[],193174.16,192669.634,0.286,6981.779,503.645,3.971,0.009,6236,6236,6236,6236,96.1,48.9,[],[],1.0,90.5,89.5,0.0,104.69678077697753,4.80098264357032e-184,5.0000000000000016e-05,0.6593674689531326,0.0002595911423365275,0.6591078738371531,nan,3.2336800340241703e-06,0.6527498145898183,0.0
nan,nan,nan,nan,0,0,0,0,0,6238,6238,6238,6238,2,2,4.454528654965792,4.454528654965792,6238,2,6238,False,0,3,default,2023-10-24_14-53-00,1698148380,0.4491732120513916,386.7979984283447,412163,rancher-rd-bastion,10.27.41.23,386.7979984283447,3,6238,6238,6238,6238,nan,nan,nan,nan,0,0,[],[],128932.423,128446.599,0.31,6442.863,484.955,4.124,0.008,6238,6238,6238,6238,,,[],[],1.0,150.5,149.5,0.0,17.69511364897092,2.40049132178516e-184,5.0000000000000016e-05,-0.005763325095176697,-0.06351638436317444,0.057753055407132096,nan,0.04252405380225355,0.652602877219518,0.0
nan,nan,nan,nan,0,0,0,0,0,6240,6240,6240,6240,2,2,0.14017358240647596,0.14017358240647596,6240,2,6240,False,0,4,default,2023-10-24_14-53-14,1698148394,14.26820683479309,401.0662052631378,412163,rancher-rd-bastion,10.27.41.23,401.0662052631378,4,6240,6240,6240,6240,nan,nan,nan,nan,0,0,[],[],100266.316,99764.923,0.331,6036.055,500.514,3.996,0.007,6240,6240,6240,6240,10.93809523809524,48.99047619047619,[],[],1.0,210.5,29.5,0.0,110.72765860954921,3.6007369826777396e-184,5.0000000000000016e-05,0.9065460334221522,-0.08985418776671092,0.9964002219310107,nan,0.12782239465789946,0.7973325217763583,0.0
nan,nan,nan,nan,0,0,0,0,0,6242,6242,6242,6242,2,2,0.0010461522582327664,0.0010461522582327664,6242,2,6242,False,0,5,default,2023-10-24_15-25-06,1698150306,1911.7678391933441,2312.834044456482,412163,rancher-rd-bastion,10.27.41.23,2312.834044456482,5,6242,6242,6242,6242,nan,nan,nan,nan,0,0,[],[],462566.568,462071.658,0.362,5523.181,493.993,4.049,0.006,6242,6242,6242,6242,6.067106710671067,47.49057572423909,[],[],1.0,270.5,29.5,0.0,13.653211488761007,5.40110547401661e-184,5.0000000000000016e-05,-0.1824654479821523,-0.1939747750759125,0.011509324962632187,nan,0.061146155898321314,0.7414227282007535,0.0
nan,nan,nan,nan,0,0,0,0,0,6244,6244,6244,6244,2,2,0.0014442782908663844,0.0014442782908663844,6244,2,6244,False,0,6,default,2023-10-24_15-48-10,1698151690,1384.7748832702637,3697.6089277267456,412163,rancher-rd-bastion,10.27.41.23,3697.6089277267456,6,6244,6244,6244,6244,nan,nan,nan,nan,0,0,[],[],616267.914,615773.524,0.354,5648.26,493.49,4.053,0.006,6244,6244,6244,6244,5.873987854251012,47.24038461538461,[],[],1.0,330.5,29.5,0.0,64.59525651931763,8.101658211024914e-184,5.0000000000000016e-05,1.5211665630340576,-0.22039605577786764,1.7415626377022515,nan,0.050904024361322325,0.5822833244999249,0.0
nan,nan,nan,nan,0,0,0,0,0,6246,6246,6246,6246,2,2,0.0015212859861000697,0.0015212859861000697,6246,2,6246,False,0,7,default,2023-10-24_16-10-05,1698153005,1314.6775045394897,5012.286432266235,412163,rancher-rd-bastion,10.27.41.23,5012.286432266235,7,6246,6246,6246,6246,nan,nan,nan,nan,0,0,[],[],716040.664,715529.59,0.349,5734.4,510.181,3.92,0.006,6246,6246,6246,6246,5.903093333333333,47.56474666666667,[],[],1.0,390.5,29.5,0.0,70.71821247736612,1.215248731653737e-183,5.0000000000000016e-05,1.0949885894854863,0.00047957698504130043,1.0945090075702562,nan,8.230456008580707e-05,0.9336598604917526,0.0
nan,nan,nan,nan,0,0,0,0,0,6248,6248,6248,6248,2,2,4.359774896418674,4.359774896418674,6248,2,6248,False,0,8,default,2023-10-24_16-10-06,1698153006,0.45894312858581543,5012.745375394821,412163,rancher-rd-bastion,10.27.41.23,5012.745375394821,8,6248,6248,6248,6248,nan,nan,nan,nan,0,0,[],[],626592.92,626088.443,0.339,5895.534,503.608,3.971,0.006,6248,6248,6248,6248,89.9,48.8,[],[],1.0,450.5,89.5,0.0,61.18040256500244,6.076243658268685e-184,5.0000000000000016e-05,0.583696233232816,0.0004737516244252523,0.5832224821050962,nan,6.503493708199433e-05,0.9320432682832082,0.0
nan,nan,nan,nan,0,0,0,0,0,6250,6250,6250,6250,2,2,4.664123491344919,4.664123491344919,6250,2,6250,False,0,9,default,2023-10-24_16-10-06,1698153006,0.42898011207580566,5013.174355506897,412163,rancher-rd-bastion,10.27.41.23,5013.174355506897,9,6250,6250,6250,6250,nan,nan,nan,nan,0,0,[],[],557019.126,556523.107,0.33,6052.387,495.176,4.039,0.005,6250,6250,6250,6250,96.4,48.8,[],[],1.0,510.5,149.5,0.0,35.68987466494242,3.0381218291343426e-184,5.0000000000000016e-05,0.4726839780807495,-0.056554437677065535,0.5292384146094264,nan,0.011241640042741589,1.1908784925937652,0.0
nan,nan,nan,nan,0,0,0,0,0,6252,6252,6252,6252,2,2,3.0612616459168615e-05,3.0612616459168615e-05,6252,2,6252,False,0,10,default,2023-10-25_10-18-59,1698218339,65332.54057574272,70345.71493124962,412163,rancher-rd-bastion,10.27.41.23,70345.71493124962,10,6252,6252,6252,6252,nan,nan,nan,nan,0,0,[],[],7034571.244,7034073.444,0.335,5961.629,496.95,4.025,0.005,6252,6252,6252,6252,4.4701591184643945,44.45448761279386,[],[],1.0,570.5,29.5,0.0,145.8281926314036,3.0381218291343426e-184,5.0000000000000016e-05,1.130210026105245,0.0026517281929651897,1.1275582863367162,nan,7.181469882198144e-05,0.9216212550799052,0.0
