replica,cpu,heap,previous_tps,instant_tps
8,2,9,0.0,12.27
7,2,9,12.27,25.27
7,1,9,25.27,4.0
7,2,9,4.0,13.24
7,2,9,4.0,13.24
8,2,9,13.24,12.59
8,3,9,12.59,31.06
8,3,8,31.06,27.12
8,4,8,27.12,36.12
8,5,8,36.12,44.2
8,4,8,44.2,36.56
8,3,8,36.56,27.72
8,4,8,27.72,38.1
8,4,7,38.1,35.2
8,4,7,35.2,38.06
8,4,7,38.06,41.0
8,3,7,41.0,27.86
8,3,8,27.86,25.8
8,2,8,25.8,7.42
8,2,7,7.42,7.13
7,2,7,7.13,19.33
7,3,7,19.33,25.12
7,3,6,25.12,24.47
7,3,5,24.47,26.39
7,3,6,26.39,25.55
7,3,5,25.55,30.36
7,3,4,30.36,22.94
7,2,4,22.94,13.07
7,2,4,13.07,17.06
7,3,4,17.06,20.47
7,3,4,20.47,35.47
7,3,3,35.47,20.33
7,4,3,20.33,40.6
7,5,3,40.6,45.44
7,5,4,45.44,44.34
7,5,3,44.34,46.06
7,6,3,46.06,47.94
7,7,3,47.94,49.94
7,7,2,49.94,49.3
7,7,1,49.3,48.66
8,7,1,48.66,47.44
8,8,1,47.44,48.72
8,9,1,48.72,49.53
8,9,1,48.72,49.53
8,9,1,48.72,49.53
8,9,1,49.53,49.72
8,8,1,49.72,47.97
8,9,1,47.97,49.44
8,9,1,47.97,49.44
8,9,1,47.97,49.44
8,9,1,47.97,49.44
8,9,1,49.44,50.56
8,9,1,49.44,50.56
8,8,1,50.56,49.06
8,7,1,49.06,46.34
8,7,1,49.06,46.34
8,8,1,46.34,48.8
8,9,1,48.8,49.38
8,8,1,49.38,48.84
8,8,1,49.38,48.84
8,9,1,48.84,49.8
8,9,1,48.84,49.8
8,9,1,48.84,49.8
8,9,1,48.84,49.8
9,9,1,49.8,50.88
9,9,1,49.8,50.88
9,9,1,49.8,50.88
8,9,1,50.88,49.34
8,9,1,50.88,49.34
8,9,1,50.88,49.34
7,9,1,49.34,50.06
7,9,1,49.34,50.06
7,9,1,50.06,49.53
7,9,1,50.06,49.53
7,9,1,50.06,49.53
6,9,1,49.53,50.0
6,9,1,49.53,50.0
6,9,1,49.53,50.0
6,9,1,49.53,50.0
6,9,1,49.53,50.0
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,1,50.0,50.2
6,9,2,50.2,50.94
6,9,1,50.94,49.8
6,9,1,50.94,49.8
6,9,1,50.94,49.8
5,9,1,49.8,50.2
5,9,1,49.8,50.2
5,9,1,49.8,50.2
5,8,1,50.2,49.9
5,9,1,49.9,50.34
5,9,1,49.9,50.34
5,9,2,50.34,51.22
5,9,2,50.34,51.22
5,9,2,51.22,51.12
5,9,2,51.22,51.12
5,9,1,51.12,49.4
5,9,1,49.4,52.47
4,9,1,52.47,49.94
3,9,1,49.94,48.53
2,9,1,48.53,46.12
2,9,1,48.53,46.12
2,9,2,46.12,50.12
2,9,2,50.12,50.06
3,9,2,50.06,49.8
3,9,2,49.8,49.72
3,9,3,49.72,49.94
3,9,2,49.94,50.1
2,9,2,50.1,50.0
2,9,2,50.1,50.0
2,9,2,50.1,50.0
2,9,3,50.0,50.16
2,9,3,50.16,49.25
3,9,3,49.25,50.72
3,9,3,49.25,50.72
3,9,3,49.25,50.72
3,9,3,49.25,50.72
3,9,3,49.25,50.72
4,9,3,50.72,50.84
4,9,2,50.84,51.12
5,9,2,51.12,51.53
5,9,2,51.53,50.78
5,9,2,51.53,50.78
5,9,1,50.78,49.8
5,9,1,50.78,49.8
4,9,1,49.8,49.34
4,9,2,49.34,50.8
4,9,1,50.8,49.53
4,9,1,49.53,51.16
4,9,2,51.16,50.72
4,9,1,50.72,50.38
4,9,1,50.72,50.38
4,9,2,50.38,50.72
4,9,3,50.72,50.7
4,9,2,50.7,50.6
4,9,3,50.6,50.5
4,9,3,50.6,50.5
4,9,4,50.5,50.44
4,9,3,50.44,51.0
4,9,2,51.0,50.56
4,9,2,50.56,50.38
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,50.38,49.8
4,9,1,49.8,49.6
4,9,1,49.8,49.6
4,9,1,49.8,49.6
4,9,1,49.8,49.6
4,9,1,49.8,49.6
4,9,1,49.8,49.6
4,9,2,49.6,50.8
4,9,1,50.8,49.94
4,9,1,50.8,49.94
4,9,1,49.94,49.94
4,9,1,49.94,49.94
4,9,1,49.94,49.94
4,9,1,49.94,49.94
4,9,1,49.94,49.94
4,9,1,49.94,49.94
3,9,1,49.94,49.38
3,9,2,49.38,50.94
3,9,2,50.94,50.22
3,9,2,50.22,48.0
3,9,2,48.0,47.72
3,9,2,48.0,47.72
2,9,2,47.72,49.66
2,9,1,49.66,48.75
2,9,1,49.66,48.75
2,9,1,49.66,48.75
2,9,1,48.75,48.94
2,9,1,48.75,48.94
2,9,1,48.75,48.94
2,9,1,48.75,48.94
2,8,1,48.94,45.88
2,8,1,48.94,45.88
2,8,1,48.94,45.88
2,9,1,45.88,48.9
2,9,1,45.88,48.9
2,9,1,45.88,48.9
2,9,1,45.88,48.9
2,9,2,48.9,50.47
2,9,1,50.47,47.72
2,9,1,50.47,47.72
1,9,1,47.72,49.53
1,9,1,47.72,49.53
1,9,1,47.72,49.53
1,9,1,47.72,49.53
1,9,1,47.72,49.53
2,9,1,49.53,48.7
2,9,1,49.53,48.7
1,9,1,48.7,49.4
1,9,2,49.4,48.9
1,9,2,49.4,48.9
2,9,2,48.9,49.28
2,9,1,49.28,48.22
1,9,1,48.22,50.6
1,9,1,50.6,48.53
1,9,1,50.6,48.53
1,9,2,48.53,48.38
1,8,2,48.38,47.03
1,9,2,47.03,47.62
1,9,3,47.62,48.5
1,9,3,47.62,48.5
1,9,3,48.5,46.12
1,9,3,46.12,48.06
2,9,3,48.06,49.5
1,9,3,49.5,49.72
1,9,3,49.5,49.72
1,9,3,49.5,49.72
1,9,2,49.72,47.8
1,9,3,47.8,48.1
1,9,2,48.1,49.12
1,9,2,48.1,49.12
1,9,2,48.1,49.12
2,9,2,49.12,49.2
2,9,2,49.12,49.2
2,9,2,49.12,49.2
2,9,2,49.12,49.2
1,9,2,49.2,50.2
1,9,3,50.2,49.6
1,9,4,49.6,47.75
2,9,4,47.75,50.34
2,9,4,47.75,50.34
2,9,5,50.34,50.0
2,9,6,50.0,50.1
2,9,5,50.1,50.6
3,9,5,50.6,50.06
3,9,5,50.06,51.0
2,9,5,51.0,50.47
2,9,6,50.47,50.16
1,9,6,50.16,48.06
1,9,6,50.16,48.06
1,9,5,48.06,48.9
1,9,5,48.06,48.9
1,9,4,48.9,48.62
1,9,5,48.62,48.38
1,9,5,48.62,48.38
1,9,6,48.38,48.62
1,9,6,48.38,48.62
1,9,7,48.62,47.44
1,9,7,48.62,47.44
1,9,8,47.44,49.1
1,9,7,49.1,48.06
1,9,8,48.06,48.75
1,9,9,48.75,48.78
1,9,9,48.75,48.78
1,9,9,48.75,48.78
1,8,9,48.78,46.3
1,7,9,46.3,45.06
1,7,9,46.3,45.06
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,45.06,43.22
1,6,9,43.22,40.9
1,6,8,40.9,40.8
1,6,7,40.8,43.53
1,5,7,43.53,34.0
1,5,8,34.0,38.78
1,5,7,38.78,35.2
1,5,7,35.2,39.4
1,5,8,39.4,38.84
1,5,9,38.84,33.94
1,5,8,33.94,38.56
1,5,7,38.56,33.34
1,5,6,33.34,36.4
1,5,7,36.4,37.1
1,5,7,37.1,36.6
1,5,6,36.6,32.88
2,5,6,32.88,31.8
2,6,6,31.8,45.12
2,6,5,45.12,43.16
3,6,5,43.16,45.9
3,6,6,45.9,45.75
2,6,6,45.75,44.06
2,6,5,44.06,43.7
2,6,4,43.7,42.84
2,6,5,42.84,44.78
3,6,5,44.78,44.47
2,6,5,44.47,47.94
2,6,6,47.94,44.16
2,6,5,44.16,45.2
2,6,4,45.2,44.44
2,7,4,44.44,47.94
2,7,5,47.94,46.62
2,6,5,46.62,45.7
2,6,6,45.7,44.9
2,6,5,44.9,45.03
3,6,5,45.03,45.06
3,6,6,45.06,46.84
3,6,6,46.84,46.25
3,6,7,46.25,47.1
3,6,8,47.1,46.2
3,6,7,46.2,44.78
3,6,8,44.78,44.12
3,6,7,44.12,44.28
3,6,8,44.28,44.34
2,6,8,44.34,45.34
2,5,8,45.34,40.9
3,5,8,40.9,35.5
3,5,9,35.5,41.4
3,5,9,35.5,41.4
2,5,9,41.4,44.47
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,4,9,44.47,28.12
2,5,9,28.12,42.94
2,5,9,28.12,42.94
2,4,9,42.94,34.84
2,4,9,42.94,34.84
2,4,9,34.84,34.62
2,4,9,34.84,34.62
2,4,8,34.62,35.03
2,4,9,35.03,33.66
3,4,9,33.66,26.48
3,4,8,26.48,37.94
3,4,9,37.94,39.03
3,4,9,37.94,39.03
