replica,cpu,heap,previous_tps,instant_tps
2,1,1,0.0,0.8
2,1,1,0.0,0.8
3,1,1,0.8,0.87
4,1,1,0.87,1.73
4,1,1,1.73,1.84
4,1,2,1.84,1.71
4,1,2,1.71,2.33
4,1,2,1.71,2.33
4,1,2,2.33,2.96
4,1,1,2.96,1.0
3,1,1,1.0,1.13
3,1,1,1.13,1.47
3,1,1,1.47,1.72
3,1,2,1.72,3.43
3,1,2,3.43,1.8
3,1,1,1.8,1.07
3,1,2,1.07,1.07
3,1,2,1.07,1.53
3,1,2,1.53,2.48
4,1,2,2.48,1.6
4,2,2,1.6,7.13
4,2,2,7.13,11.37
4,2,1,11.37,2.87
5,2,1,2.87,8.13
5,2,1,8.13,6.3
5,2,1,8.13,6.3
5,2,1,6.3,7.67
5,2,1,6.3,7.67
5,2,1,7.67,7.33
5,2,1,7.33,11.37
5,2,1,11.37,13.67
5,2,1,13.67,16.4
5,2,1,16.4,21.28
6,2,1,21.28,6.47
5,2,1,6.47,26.06
5,2,1,26.06,24.47
4,2,1,24.47,19.94
3,2,1,19.94,26.9
4,2,1,26.9,4.8
4,2,2,4.8,5.0
4,2,2,5.0,5.8
4,2,1,5.8,2.6
3,2,1,2.6,13.19
3,2,1,13.19,12.0
4,2,1,12.0,5.07
4,2,2,5.07,4.8
4,3,2,4.8,19.6
4,3,2,19.6,32.7
4,3,3,32.7,31.11
3,3,3,31.11,31.0
3,3,3,31.0,33.66
3,3,3,33.66,36.53
4,3,3,36.53,14.33
3,3,3,14.33,46.06
3,3,3,46.06,44.47
3,3,3,44.47,40.28
4,3,3,40.28,25.8
3,3,3,25.8,47.84
3,3,3,47.84,44.53
3,3,3,44.53,45.72
3,3,3,45.72,47.66
3,3,3,47.66,47.28
3,3,3,47.28,44.72
3,3,2,44.72,21.4
3,3,1,21.4,19.94
2,3,1,19.94,31.88
2,3,1,31.88,38.4
2,3,1,38.4,37.12
2,3,1,37.12,37.66
2,3,1,37.66,35.72
2,3,1,35.72,38.6
2,3,1,38.6,36.0
2,3,1,36.0,37.53
2,3,1,37.53,42.0
2,3,1,42.0,40.88
2,3,1,40.88,40.1
1,3,1,40.1,36.2
1,3,1,40.1,36.2
1,3,1,36.2,45.0
1,3,1,45.0,42.06
1,3,1,42.06,43.53
1,3,1,43.53,46.72
1,3,1,46.72,44.4
1,3,1,44.4,44.34
1,3,1,44.4,44.34
2,3,1,44.34,10.95
1,3,1,10.95,47.12
1,3,1,47.12,42.53
1,3,1,47.12,42.53
1,2,1,42.53,2.13
2,2,1,2.13,2.76
2,2,1,2.76,3.33
2,2,1,3.33,3.73
2,2,1,3.73,4.07
2,2,1,4.07,3.87
2,2,1,3.87,9.27
2,2,1,9.27,12.76
2,2,1,12.76,10.8
1,2,1,10.8,24.88
1,2,1,10.8,24.88
1,2,1,24.88,25.2
1,2,1,25.2,32.4
1,2,1,32.4,32.47
1,2,1,32.47,33.53
1,2,1,33.53,35.72
1,2,1,35.72,36.0
1,2,1,36.0,34.38
1,2,1,34.38,36.8
1,2,1,36.8,27.8
1,2,1,36.8,27.8
1,2,1,36.8,27.8
1,2,1,27.8,31.33
1,2,1,31.33,35.12
1,2,1,35.12,36.2
2,2,1,36.2,2.47
1,2,1,2.47,38.53
1,2,1,38.53,40.2
1,2,1,40.2,34.53
1,2,1,34.53,38.72
1,2,1,38.72,38.66
1,2,1,38.66,36.72
1,2,1,36.72,39.72
1,2,1,39.72,38.78
1,2,1,38.78,38.8
1,2,1,38.8,38.28
1,2,1,38.28,39.53
1,2,1,39.53,39.28
1,2,1,39.28,38.88
1,2,1,38.88,39.53
1,2,1,39.53,38.53
1,2,1,38.53,38.72
1,2,1,38.72,38.72
1,2,2,38.72,2.4
1,2,2,38.72,2.4
1,2,1,2.4,1.73
1,3,1,1.73,7.4
1,3,1,7.4,9.6
1,3,1,9.6,16.06
1,3,1,16.06,19.53
1,3,1,19.53,17.06
1,3,1,17.06,23.27
1,3,1,23.27,21.2
1,3,1,23.27,21.2
1,3,1,21.2,19.06
1,3,1,19.06,23.06
1,3,1,23.06,31.12
1,3,1,31.12,32.6
1,3,1,32.6,28.53
1,3,1,28.53,30.67
1,3,1,30.67,36.94
1,3,1,36.94,41.34
1,3,1,41.34,40.97
1,3,1,41.34,40.97
1,3,1,40.97,36.12
1,4,1,36.12,24.12
1,5,1,24.12,33.47
1,5,1,33.47,30.47
1,5,1,33.47,30.47
1,5,1,30.47,36.0
1,5,1,36.0,31.06
1,5,1,36.0,31.06
1,6,1,31.06,38.56
1,6,1,38.56,41.0
1,6,1,41.0,32.72
1,7,1,32.72,41.53
1,7,1,41.53,45.72
1,7,1,45.72,42.47
1,7,1,42.47,48.6
1,7,1,48.6,48.06
1,7,1,48.06,48.47
1,7,1,48.47,47.47
1,7,1,47.47,49.53
1,7,1,49.53,48.88
1,7,1,48.88,46.4
1,7,1,46.4,49.28
1,7,1,49.28,49.0
1,7,1,49.0,47.47
1,7,1,47.47,46.88
1,7,1,46.88,49.4
1,7,1,49.4,48.4
1,7,1,48.4,48.6
1,7,1,48.6,49.53
1,8,1,49.53,46.94
1,8,1,46.94,47.78
1,8,1,47.78,49.88
1,8,1,49.88,49.0
1,8,1,49.0,48.34
1,8,1,48.34,48.88
1,8,1,48.88,49.53
1,8,1,49.53,48.8
1,8,1,48.8,48.94
1,8,1,48.94,48.88
1,8,1,48.88,49.6
1,8,1,49.6,48.12
1,8,1,48.12,49.53
1,8,1,49.53,49.4
1,8,1,49.4,49.4
1,8,1,49.4,49.72
1,8,1,49.72,49.94
1,8,1,49.94,49.6
1,8,1,49.6,49.72
1,8,1,49.72,49.94
1,8,1,49.94,49.4
1,8,1,49.4,49.66
1,8,1,49.66,49.12
1,8,1,49.12,49.94
1,8,1,49.94,49.4
1,8,1,49.4,49.53
1,8,1,49.53,49.2
1,8,1,49.2,49.4
1,8,1,49.4,49.6
1,8,1,49.6,50.06
1,8,1,50.06,49.4
1,8,1,49.4,49.88
1,8,1,49.88,49.66
1,8,1,49.66,50.0
1,8,1,50.0,49.66
1,8,1,49.66,49.88
1,8,1,49.88,49.53
1,8,1,49.53,49.8
1,8,1,49.8,49.8
1,8,1,49.8,49.88
1,8,1,49.88,49.84
1,8,1,49.84,49.72
1,8,1,49.72,49.72
1,8,1,49.72,49.8
1,8,1,49.8,49.6
1,8,1,49.6,49.53
1,8,1,49.53,49.94
1,8,1,49.94,49.53
1,8,1,49.53,50.0
1,8,1,50.0,49.53
1,8,1,49.53,49.66
1,8,1,49.66,49.88
1,8,1,49.88,49.2
1,8,1,49.2,49.53
1,8,1,49.53,49.4
1,8,1,49.4,49.6
1,8,1,49.6,50.06
1,8,1,50.06,49.6
1,8,1,49.6,49.2
1,8,1,49.2,49.94
1,8,1,49.94,49.6
1,8,1,49.6,50.0
1,8,1,50.0,49.88
1,8,1,49.88,50.47
1,8,1,50.47,49.4
1,8,1,49.4,49.8
1,8,1,49.8,49.94
1,8,1,49.94,49.4
1,8,1,49.4,49.94
1,8,1,49.94,49.2
1,8,1,49.2,49.47
1,8,1,49.47,48.94
1,8,1,48.94,49.72
1,8,1,49.72,49.6
1,8,1,49.6,49.94
1,8,1,49.94,50.06
1,8,1,50.06,49.88
1,8,1,49.88,49.47
1,8,1,49.47,50.28
1,8,1,50.28,49.47
1,8,1,49.47,49.6
1,8,1,49.6,50.0
1,8,1,50.0,49.47
1,8,1,49.47,49.94
1,8,1,49.94,50.06
1,8,1,50.06,49.8
1,8,1,49.8,49.6
1,8,1,49.6,49.94
1,8,1,49.94,49.72
1,8,1,49.72,49.72
1,8,1,49.72,49.6
1,8,1,49.6,49.66
1,8,1,49.66,49.8
1,8,1,49.8,49.66
1,8,1,49.66,49.72
1,8,1,49.72,49.8
1,8,1,49.8,49.4
1,8,1,49.4,49.47
1,8,1,49.47,49.72
1,8,1,49.72,49.4
1,8,1,49.4,49.72
1,8,1,49.72,50.25
1,8,1,50.25,49.8
1,8,1,49.8,49.88
1,8,1,49.88,49.72
1,8,1,49.72,49.6
1,8,1,49.6,49.8
1,8,1,49.8,49.4
1,8,1,49.4,50.06
1,8,1,50.06,49.66
1,8,1,49.66,49.66
1,8,1,49.66,49.6
1,8,1,49.6,49.53
1,8,1,49.53,49.72
