replica,cpu,heap,previous_tps,instant_tps
2,6,4,0.0,46.34
2,6,4,0.0,46.34
3,6,4,46.34,43.66
4,6,4,43.66,46.34
4,7,4,46.34,46.56
3,7,4,46.56,46.28
4,7,4,46.28,47.75
3,7,4,47.75,48.88
4,7,4,48.88,47.78
4,7,5,47.78,46.97
3,7,5,46.97,46.47
3,6,5,46.47,43.97
4,6,5,43.97,44.94
4,7,5,44.94,47.38
5,7,5,47.38,50.25
5,8,5,50.25,49.9
6,8,5,49.9,49.2
6,8,5,49.2,49.84
6,9,5,49.84,49.78
5,9,5,49.78,50.2
5,8,5,50.2,50.03
5,9,5,50.03,51.03
4,9,5,51.03,49.72
3,9,5,49.72,49.53
3,9,5,49.72,49.53
4,9,5,49.53,51.62
4,9,4,51.62,49.66
4,9,4,51.62,49.66
4,9,4,51.62,49.66
4,9,4,51.62,49.66
4,9,4,49.66,49.78
4,9,4,49.66,49.78
4,8,4,49.78,49.2
4,9,4,49.2,49.9
3,9,4,49.9,47.88
3,9,4,47.88,50.12
3,9,4,47.88,50.12
3,9,5,50.12,49.34
3,8,5,49.34,48.9
3,9,5,48.9,49.34
3,9,4,49.34,49.66
3,9,4,49.34,49.66
3,9,4,49.34,49.66
4,9,4,49.66,50.53
4,9,4,49.66,50.53
4,8,4,50.53,49.34
4,8,5,49.34,49.22
4,8,4,49.22,49.47
5,8,4,49.47,50.47
5,8,4,49.47,50.47
6,8,4,50.47,49.8
6,8,4,49.8,50.53
6,9,4,50.53,50.25
5,9,4,50.25,50.2
4,9,4,50.2,49.2
4,9,4,50.2,49.2
4,9,4,50.2,49.2
4,8,4,49.2,49.2
4,8,4,49.2,50.25
4,8,5,50.25,48.88
4,7,5,48.88,47.84
5,7,5,47.84,51.22
5,7,6,51.22,49.7
4,7,6,49.7,46.88
5,7,6,46.88,50.78
4,7,6,50.78,45.72
3,7,6,45.72,47.06
2,7,6,47.06,50.0
3,7,6,50.0,46.47
2,7,6,46.47,49.53
2,7,7,49.53,46.6
1,7,7,46.6,48.94
1,7,8,48.94,44.12
1,7,8,48.94,44.12
1,7,8,48.94,44.12
1,7,8,48.94,44.12
1,8,8,44.12,47.88
1,9,8,47.88,47.75
1,9,8,47.88,47.75
1,9,8,47.88,47.75
1,8,8,47.75,45.22
1,7,8,45.22,45.66
1,7,9,45.66,42.16
1,8,9,42.16,45.9
1,7,9,45.9,42.03
1,7,8,42.03,44.12
2,7,8,44.12,44.7
1,7,8,44.7,49.66
1,6,8,49.66,42.16
1,7,8,42.16,44.66
1,7,7,44.66,44.25
1,7,6,44.25,45.88
2,7,6,45.88,45.22
2,8,6,45.22,47.03
1,8,6,47.03,49.88
1,8,6,47.03,49.88
1,8,6,47.03,49.88
1,9,6,49.88,46.06
2,9,6,46.06,46.72
2,9,6,46.06,46.72
1,9,6,46.72,50.34
1,9,6,46.72,50.34
1,9,6,46.72,50.34
1,9,5,50.34,47.66
2,9,5,47.66,49.1
2,9,5,47.66,49.1
2,8,5,49.1,46.97
2,9,5,46.97,49.94
2,8,5,49.94,47.4
2,9,5,47.4,50.2
2,9,5,47.4,50.2
2,8,5,50.2,46.8
2,9,5,46.8,49.66
2,9,5,46.8,49.66
2,9,5,46.8,49.66
2,9,5,46.8,49.66
3,9,5,49.66,48.16
3,9,6,48.16,50.2
2,9,6,50.2,48.0
1,9,6,48.0,50.06
2,9,6,50.06,49.56
2,9,6,50.06,49.56
2,9,5,49.56,49.16
3,9,5,49.16,49.28
4,9,5,49.28,50.78
4,9,4,50.78,50.4
4,9,5,50.4,49.62
4,8,5,49.62,48.47
4,7,5,48.47,48.62
3,7,5,48.62,49.4
3,7,6,49.4,46.34
3,7,7,46.34,46.2
3,7,6,46.2,47.9
3,8,6,47.9,50.12
3,9,6,50.12,50.6
4,9,6,50.6,49.12
4,8,6,49.12,48.9
4,8,7,48.9,48.62
4,8,8,48.62,49.1
4,9,8,49.1,50.53
3,9,8,50.53,47.8
4,9,8,47.8,50.22
4,9,7,50.22,51.03
5,9,7,51.03,50.1
6,9,7,50.1,49.94
6,9,6,49.94,50.88
6,9,6,49.94,50.88
6,8,6,50.88,48.47
6,8,6,50.88,48.47
6,7,6,48.47,47.97
6,7,7,47.97,46.97
6,7,6,46.97,47.97
6,6,6,47.97,46.97
6,6,6,47.97,46.97
6,7,6,46.97,48.2
6,6,6,48.2,45.25
6,5,6,45.25,44.84
5,5,6,44.84,47.0
5,4,6,47.0,43.7
5,4,5,43.7,41.78
5,4,5,43.7,41.78
5,4,6,41.78,41.47
4,4,6,41.47,43.06
3,4,6,43.06,40.47
3,4,5,40.47,37.0
3,4,4,37.0,39.03
3,4,4,37.0,39.03
3,4,4,39.03,39.72
3,4,5,39.72,37.28
3,5,5,37.28,42.84
2,5,5,42.84,46.72
2,4,5,46.72,32.8
2,4,6,32.8,31.19
3,4,6,31.19,30.81
3,5,6,30.81,42.1
2,5,6,42.1,41.66
2,5,6,41.66,43.6
1,5,6,43.6,49.34
1,5,7,49.34,37.3
2,5,7,37.3,27.03
2,5,8,27.03,41.06
3,5,8,41.06,33.38
3,4,8,33.38,37.0
3,4,9,37.0,36.66
3,4,9,36.66,38.53
3,4,9,36.66,38.53
3,4,9,38.53,40.8
3,4,9,38.53,40.8
3,5,9,40.8,38.2
3,5,9,38.2,41.2
3,4,9,41.2,37.53
3,4,9,41.2,37.53
4,4,9,37.53,37.34
3,4,9,37.34,44.2
3,4,9,37.34,44.2
3,4,9,37.34,44.2
2,4,9,44.2,47.53
2,4,9,47.53,48.34
2,4,9,47.53,48.34
2,4,8,48.34,33.72
2,4,7,33.72,34.47
3,4,7,34.47,31.56
3,4,7,34.47,31.56
4,4,7,31.56,38.66
4,5,7,38.66,43.72
4,4,7,43.72,29.3
4,5,7,29.3,44.34
4,5,7,44.34,44.88
3,5,7,44.88,41.78
3,5,7,41.78,39.53
4,5,7,39.53,44.4
4,5,6,44.4,41.16
4,6,6,41.16,45.84
3,6,6,45.84,44.94
4,6,6,44.94,47.53
4,6,6,47.53,47.34
4,6,5,47.34,47.28
3,6,5,47.28,41.94
3,6,4,41.94,46.06
3,5,4,46.06,41.4
2,5,4,41.4,44.6
3,5,4,44.6,40.53
4,5,4,40.53,44.28
4,5,5,44.28,42.53
4,6,5,42.53,45.7
5,6,5,45.7,48.53
5,6,5,48.53,49.34
5,6,5,49.34,49.4
5,6,4,49.4,48.75
6,6,4,48.75,46.06
5,6,4,46.06,49.4
4,6,4,49.4,45.88
5,6,4,45.88,50.9
5,6,4,45.88,50.9
5,6,4,45.88,50.9
6,6,4,50.9,48.8
6,6,4,50.9,48.8
6,6,4,50.9,48.8
6,6,5,48.8,47.06
6,7,5,47.06,49.16
6,7,5,47.06,49.16
6,6,5,49.16,47.12
6,7,5,47.12,48.7
6,7,5,48.7,49.8
6,6,5,49.8,46.72
6,6,4,46.72,46.44
6,6,4,46.72,46.44
5,6,4,46.44,48.47
5,7,4,48.47,49.06
5,7,4,48.47,49.06
4,7,4,49.06,48.66
5,7,4,48.66,49.66
6,7,4,49.66,49.84
6,7,4,49.66,49.84
5,7,4,49.84,49.94
6,7,4,49.94,50.28
6,7,4,49.94,50.28
6,8,4,50.28,50.47
6,7,4,50.47,48.06
6,7,4,50.47,48.06
6,7,4,50.47,48.06
6,7,4,48.06,49.44
6,6,4,49.44,48.62
6,6,4,48.62,49.12
6,6,4,49.12,49.2
6,6,4,49.12,49.2
6,7,4,49.2,48.56
6,8,4,48.56,50.06
6,7,4,50.06,48.75
6,7,4,50.06,48.75
6,8,4,48.75,49.62
6,8,5,49.62,49.28
5,8,5,49.28,49.72
5,8,4,49.72,50.8
4,8,4,50.8,49.0
5,8,4,49.0,50.72
5,7,4,50.72,48.94
5,7,5,48.94,50.3
4,7,5,50.3,46.72
