replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp
3,8,7,0,24,220,231,0.317,0.847,0.939625,0.939625,18.5,24.0,0,24,1707395964.6721382
4,4,6,24,21,49,54,0.297,0.691,0.9742500000000001,1.913875,125.26,21.13,0,24,1707396099.9613109
6,6,6,21,32,116,121,0.408,0.657,0.968,2.881875,37.88,32.8,0,32,1707396388.877567
1,8,4,32,32,365,428,0.793,0.589,0.999125,3.8810000000000002,32.63,32.6,0,32,1707396616.7168736
1,7,5,32,33,517,569,0.681,0.626,0.9972857142857143,4.878285714285715,148.78,33.67,0,40,1707396764.30371
3,9,5,33,32,282,293,0.622,0.684,0.9691111111111111,5.847396825396826,19.44,32.2,0,32,1707396917.9811897
3,6,6,32,32,275,282,0.47,0.688,0.9783333333333333,6.82573015873016,31.68,32.4,0,32,1707397156.9518654
3,8,5,32,24,215,220,0.517,0.651,0.9646250000000001,7.79035515873016,26.05,24.0,0,24,1707397441.134221
3,4,5,24,27,191,202,0.317,0.749,0.97925,8.76960515873016,178.6,27.27,0,40,1707397677.9660182
3,4,4,27,26,124,133,0.313,0.684,0.9782500000000001,9.747855158730161,193.35,26.2,0,40,1707398098.5726612
6,8,6,26,40,187,189,0.46,0.686,0.9575,10.70535515873016,25.66,40.7,0,40,1707398537.5146666
5,8,6,40,40,233,228,0.261,0.707,0.932625,11.63798015873016,20.73,40.27,0,40,1707398758.76298
1,5,6,40,19,204,259,0.48,0.637,0.996,12.63398015873016,302.44,19.93,0,48,1707398894.125592
2,5,9,19,30,226,252,0.402,0.894,0.9797333333333333,13.613713492063495,158.21,30.87,0,40,1707399086.6999402
3,7,9,30,32,275,285,0.447,0.709,0.9426349206349206,14.556348412698416,25.3,32.72,0,32,1707399369.988234
1,5,4,32,14,291,350,0.491,0.619,0.9982,15.554548412698416,211.0,14.1,0,24,1707399654.209309
2,6,5,14,52,405,439,0.558,0.697,0.993,16.547548412698415,120.81,52.12,0,56,1707399838.5773938
6,6,9,52,49,85,91,0.388,0.693,0.9416666666666667,17.48921507936508,59.74,49.07,0,48,1707400068.7275915
3,4,5,49,21,122,135,0.341,0.698,0.98525,18.474465079365082,228.27,21.27,0,40,1707400298.9977136
5,8,9,21,40,168,174,0.462,0.717,0.9374166666666667,19.41188174603175,22.55,40.48,0,40,1707400698.5886507
2,5,7,40,26,296,326,0.439,0.74,0.9878,20.39968174603175,185.64,26.53,0,40,1707400888.133832
5,6,7,26,32,185,187,0.376,0.708,0.9626666666666667,21.362348412698417,28.06,32.76,0,32,1707401157.1641145
6,9,9,32,32,144,145,0.669,0.642,0.9456666666666667,22.308015079365084,22.69,32.0,0,32,1707401398.5894473
1,6,6,32,26,37,47,0.576,0.592,0.9946666666666667,23.30268174603175,188.55,26.6,0,40,1707401586.5833254
2,6,4,26,32,205,219,0.52,0.637,0.9866666666666667,24.28934841269842,149.66,32.07,0,40,1707401754.5759878
5,7,4,32,40,184,191,0.554,0.679,0.9791428571428572,25.268491269841277,26.42,40.73,0,40,1707401978.7582405
4,5,6,40,37,192,201,0.375,0.739,0.975,26.24349126984128,107.91,37.61,0,40,1707402197.706316
1,6,9,37,20,461,542,0.6,0.69,0.9766666666666667,27.220157936507945,242.81,20.67,0,40,1707402478.4790158
1,9,4,20,32,419,464,0.9,0.604,1.0,28.220157936507945,36.01,32.53,0,32,1707402658.7650788
1,9,8,32,32,756,836,0.876,0.726,0.9880833333333333,29.208241269841277,45.92,32.76,0,32,1707402808.328719
6,4,4,32,29,64,71,0.281,0.673,0.9702500000000001,30.178491269841278,270.16,29.76,0,64,1707402957.8870096
4,8,6,29,48,245,250,0.66,0.663,0.9825,31.16099126984128,51.38,48.47,0,48,1707403257.8823326
3,4,7,48,28,139,151,0.275,0.739,0.96875,32.129741269841276,177.68,28.1,0,40,1707403451.667798
4,7,7,28,48,227,239,0.623,0.686,0.987,33.11674126984128,30.93,48.47,0,48,1707403847.6602798
2,5,7,48,32,378,419,0.463,0.759,0.9926,34.10934126984128,181.52,32.8,0,48,1707404057.8797584
2,8,8,32,54,599,645,0.726,0.703,0.978625,35.08796626984128,104.16,54.93,0,56,1707404337.2847197
4,6,7,54,55,219,234,0.542,0.72,0.9903333333333333,36.078299603174614,158.97,55.73,0,72,1707404536.5170138
6,6,7,55,64,216,218,0.333,0.746,0.9555,37.033799603174614,65.9,64.96,0,64,1707404775.7850487
4,5,4,64,47,91,102,0.473,0.687,0.9945999999999999,38.02839960317461,191.07,47.6,0,72,1707404938.2025914
3,9,6,47,89,730,725,0.799,0.677,0.9887777777777778,39.01717738095239,17.7,89.0,0,88,1707405206.4906878
2,8,8,89,55,379,414,0.689,0.678,0.9708749999999999,39.98805238095239,50.22,55.67,0,56,1707405439.1276472
5,4,5,55,34,159,171,0.239,0.688,0.95975,40.94780238095239,173.77,34.02,0,48,1707405631.943516
2,8,8,34,57,524,570,0.746,0.734,0.985,41.93280238095239,64.8,57.0,0,56,1707405958.592939
6,8,6,57,65,301,301,0.539,0.701,0.967375,42.900177380952385,28.67,65.76,0,64,1707406157.6861112
5,7,6,65,72,213,223,0.62,0.692,0.9885714285714285,43.88874880952381,64.59,72.8,0,72,1707406377.4685051
3,5,5,72,61,183,196,0.497,0.688,0.9994000000000001,44.88814880952381,196.42,61.0,0,96,1707406586.280079
5,7,4,61,95,427,435,0.546,0.708,0.978,45.866148809523814,85.91,95.93,0,96,1707406946.035439
2,9,9,95,122,961,990,0.832,0.723,0.9727777777777777,46.83892658730159,27.94,122.73,0,120,1707407159.0198095
2,6,8,122,50,490,540,0.574,0.752,0.9896666666666667,47.82859325396826,173.89,50.8,0,72,1707407356.511887
4,6,7,50,64,301,317,0.478,0.733,0.9796666666666667,48.808259920634924,163.04,64.87,0,88,1707407590.7374701
5,7,8,64,73,199,209,0.513,0.751,0.9671607142857143,49.775420634920636,51.9,73.35,0,72,1707407817.6590652
2,8,5,73,80,862,918,0.747,0.678,0.993375,50.768795634920636,69.56,80.95,0,80,1707408028.3250196
5,6,9,80,63,294,302,0.414,0.828,0.961,51.729795634920634,86.19,63.29,0,64,1707408237.668871
5,7,4,63,63,169,179,0.483,0.642,0.969,52.698795634920636,74.82,63.94,0,64,1707408477.415307
6,6,9,63,66,133,142,0.492,0.756,0.966,53.66479563492064,120.83,66.8,0,72,1707408688.6623864
5,6,8,66,64,154,162,0.496,0.747,0.9760416666666667,54.640837301587304,125.63,64.0,0,72,1707408921.4692967
4,9,8,64,72,325,338,0.707,0.71,0.9673055555555555,55.60814285714286,22.52,72.2,0,72,1707409161.6988115
5,4,6,72,42,50,57,0.26,0.716,0.965,56.57314285714286,236.98,42.07,0,80,1707409351.3428571
6,7,8,42,89,337,346,0.562,0.748,0.9737857142857143,57.54692857142857,63.55,89.27,0,88,1707409649.4239898
6,7,7,89,56,151,157,0.45,0.657,0.9581428571428572,58.50507142857143,27.12,56.4,0,56,1707409860.85842
5,6,9,56,57,194,205,0.465,0.694,0.9546111111111111,59.45968253968255,82.75,57.8,0,56,1707410070.0222082
6,6,8,57,84,219,232,0.453,0.732,0.967,60.426682539682545,162.07,84.4,0,112,1707410286.971546
