replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps
2,9,8,0,25,132,150,0.484,0.595,0.8563055555555555,0.8563055555555555,9.44,25.47,0,25
3,9,7,25,20,73,84,0.294,0.562,0.8259047619047619,1.6822103174603176,10.83,20.0,0,20
2,8,6,20,33,172,201,0.517,0.588,0.92525,2.6074603174603177,11.76,33.0,0,33
2,4,9,33,31,152,188,0.311,0.766,0.9257222222222222,3.53318253968254,43.51,31.07,0,31
5,8,9,31,37,82,95,0.264,0.586,0.7962222222222222,4.329404761904762,9.56,37.3,0,37
4,5,6,37,33,89,106,0.358,0.59,0.9398666666666666,5.269271428571429,12.81,33.2,0,33
1,4,5,33,30,251,316,0.395,0.569,0.9975,6.266771428571429,115.28,30.0,0,30
4,8,6,30,21,59,70,0.298,0.531,0.8514999999999999,7.118271428571429,10.02,21.22,0,21
3,8,4,21,44,154,172,0.41,0.567,0.9025,8.020771428571429,10.3,44.27,0,44
6,4,4,44,44,81,96,0.267,0.577,0.9335,8.95427142857143,17.47,44.2,0,44
6,9,8,44,46,83,95,0.215,0.567,0.7895277777777777,9.743799206349207,9.99,46.96,0,45
