replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization,action_cost,performance
3,7,9,0.0,36.47,164,174,0.512,0.728,0.7375753968253969,0.908063492063492,44.23,36.47,0,36,0.7701587301587303,0.0,1.0130555555555556
6,7,6,36.47,35.28,39,44,0.408,0.628,0.6312896825396825,1.812468120634921,59.41,35.27,0,36,0.7914285714285714,0.48,0.9797222222222223
2,8,8,35.28,18.44,146,159,0.466,0.661,0.6192569444444445,2.694218120634921,25.02,18.43,0,18,0.704375,0.5200000000000001,1.0238888888888888
4,5,5,18.44,6.67,23,27,0.432,0.573,0.36087777777777774,3.289351720634921,397.43,6.67,0,18,0.9319999999999999,0.52,0.3705555555555555
3,4,9,6.67,11.0,78,87,0.352,0.754,0.3224444444444444,3.816240876190476,566.39,11.0,0,36,0.8588888888888888,0.44000000000000006,0.3055555555555556
1,9,7,11.0,27.08,474,543,0.886,0.67,0.6887195767195767,4.804558336507936,61.02,27.08,0,27,0.9707936507936509,0.52,1.0029629629629628
5,9,4,27.08,27.42,105,111,0.419,0.627,0.6156111111111111,5.697669447619047,25.6,27.42,0,27,0.7327777777777778,0.56,1.0155555555555555
4,8,4,27.42,27.52,103,111,0.501,0.652,0.7293819444444445,6.622919447619047,27.89,27.51,0,27,0.813125,0.12000000000000002,1.018888888888889
1,7,4,27.52,16.14,28,35,0.679,0.568,0.5383888888888889,7.375586247619047,188.13,16.14,0,27,0.9850000000000001,0.28,0.5977777777777779
2,7,5,16.14,27.16,126,143,0.58,0.625,0.7452486772486772,8.341300533333333,58.24,27.16,0,27,0.9142857142857143,0.16000000000000003,1.005925925925926
2,8,5,27.16,18.34,138,148,0.536,0.622,0.7519444444444445,9.275300533333333,26.5,18.34,0,18,0.835,0.04000000000000001,1.018888888888889
5,4,9,18.34,3.13,30,36,0.34,0.765,0.16896296296296293,9.684856133333334,1568.34,3.13,0,27,0.85,0.7200000000000001,0.11592592592592592
2,4,9,3.13,15.6,38,42,0.283,0.832,0.4856805555555555,10.357911822222222,191.61,15.6,0,27,0.8159722222222221,0.24,0.5777777777777777
2,7,9,15.6,39.53,203,225,0.624,0.698,0.6652698412698412,11.218375047619048,124.61,39.53,0,45,0.8334920634920635,0.12,0.8784444444444445
3,5,9,39.53,27.05,99,107,0.368,0.695,0.5697888888888888,11.970686092063492,147.19,27.04,0,36,0.7541111111111111,0.16000000000000003,0.7511111111111111
5,7,7,27.05,37.03,65,72,0.483,0.698,0.687515873015873,12.908114663492064,40.76,37.04,0,36,0.8435714285714286,0.4000000000000001,1.028888888888889
1,8,5,37.03,23.8,120,145,0.782,0.604,0.6331805555555554,13.832281263492064,118.98,23.79,0,27,0.98875,0.5200000000000001,0.8811111111111111
5,7,7,23.8,26.47,55,61,0.446,0.65,0.6210423280423281,14.73364612063492,44.82,26.47,0,27,0.7828571428571429,0.5200000000000001,0.9803703703703703
5,8,9,26.47,36.72,115,122,0.473,0.675,0.6711874999999999,15.60189612063492,35.45,36.72,0,36,0.670625,0.20000000000000004,1.02
1,8,4,36.72,27.84,113,139,0.793,0.632,0.5414930555555556,16.464312720634922,143.69,27.85,0,36,0.995625,0.7200000000000001,0.7736111111111111
4,4,9,27.84,0.97,31,36,0.35,0.677,0.10204629629629625,16.811312765079368,2234.15,0.97,0,27,0.8136111111111111,0.8,0.035925925925925924
2,8,8,0.97,35.8,252,263,0.6,0.717,0.6641597222222222,17.737229165079366,85.49,35.8,0,36,0.8231249999999999,0.4000000000000001,0.9944444444444444
