replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization
3,7,9,0.0,36.47,164,174,0.512,0.728,0.7982822411714169,0.908063492063492,44.23,36.47,0,36,0.7701587301587303
6,7,6,36.47,35.28,39,44,0.408,0.628,0.5435032928353052,1.812468120634921,59.41,35.27,0,36,0.7914285714285714
2,8,8,35.28,18.44,146,159,0.466,0.661,0.7952196454165487,2.694218120634921,25.02,18.43,0,18,0.704375
4,5,5,18.44,6.67,23,27,0.432,0.573,0.20659760524315068,3.289351720634921,397.43,6.67,0,18,0.9319999999999999
3,4,9,6.67,11.0,78,87,0.352,0.754,0.2029442317328335,3.816240876190476,566.39,11.0,0,36,0.8588888888888888
1,9,7,11.0,27.08,474,543,0.886,0.67,0.4336506119204325,4.804558336507936,61.02,27.08,0,27,0.9707936507936509
5,9,4,27.08,27.42,105,111,0.419,0.627,0.796639184938685,5.697669447619047,25.6,27.42,0,27,0.7327777777777778
4,8,4,27.42,27.52,103,111,0.501,0.652,0.8006561837370999,6.622919447619047,27.89,27.51,0,27,0.813125
1,7,4,27.52,16.14,28,35,0.679,0.568,0.20924341019563558,7.375586247619047,188.13,16.14,0,27,0.9850000000000001
2,7,5,16.14,27.16,126,143,0.58,0.625,0.629806063970306,8.341300533333333,58.24,27.16,0,27,0.9142857142857143
2,8,5,27.16,18.34,138,148,0.536,0.622,0.8017499234451996,9.275300533333333,26.5,18.34,0,18,0.835
5,4,9,18.34,3.13,30,36,0.34,0.765,0.20249986979980417,9.684856133333334,1568.34,3.13,0,27,0.85
2,4,9,3.13,15.6,38,42,0.283,0.832,0.20079860686665515,10.357911822222222,191.61,15.6,0,27,0.8159722222222221
2,7,9,15.6,39.53,203,225,0.624,0.698,0.2016745640416842,11.218375047619048,124.61,39.53,0,45,0.8334920634920635
3,5,9,39.53,27.05,99,107,0.368,0.695,0.1977056562089744,11.970686092063492,147.19,27.04,0,36,0.7541111111111111
5,7,7,27.05,37.03,65,72,0.483,0.698,0.8021386553406336,12.908114663492064,40.76,37.04,0,36,0.8435714285714286
1,8,5,37.03,23.8,120,145,0.782,0.604,0.20943050153157033,13.832281263492064,118.98,23.79,0,27,0.98875
5,7,7,23.8,26.47,55,61,0.446,0.65,0.7988397269874565,14.73364612063492,44.82,26.47,0,27,0.7828571428571429
5,8,9,26.47,36.72,115,122,0.473,0.675,0.7935307045784171,15.60189612063492,35.45,36.72,0,36,0.670625
1,8,4,36.72,27.84,113,139,0.793,0.632,0.20977345911967796,16.464312720634922,143.69,27.85,0,36,0.995625
4,4,9,27.84,0.97,31,36,0.35,0.677,0.20068055292887355,16.811312765079368,2234.15,0.97,0,27,0.8136111111111111
2,8,8,0.97,35.8,252,263,0.6,0.717,0.20115798723435346,17.737229165079366,85.49,35.8,0,36,0.8231249999999999
4,9,7,35.8,27.81,115,121,0.454,0.672,0.7966114257519167,18.630118053968253,24.11,27.81,0,27,0.7322222222222223
5,4,5,27.81,1.97,17,20,0.28,0.625,0.20249986979980417,19.03578445396825,1474.43,1.97,0,18,0.8500000000000001
1,7,8,1.97,15.81,52,64,0.676,0.666,0.2049543433788262,19.922427111111112,116.67,15.81,0,18,0.8991071428571429
1,5,4,15.81,7.65,8,10,0.482,0.578,0.20909372543758062,20.44272711111111,599.89,7.65,0,36,0.982
3,4,9,7.65,8.35,65,73,0.339,0.745,0.20188188890215608,20.963338066666665,430.78,8.35,0,27,0.8376388888888888
2,7,5,8.35,23.39,64,73,0.605,0.601,0.20660474031895776,21.85597280952381,127.91,23.39,0,27,0.9321428571428572
5,9,5,23.39,27.34,107,111,0.435,0.629,0.797083512492121,22.75263947619048,26.21,27.34,0,27,0.7416666666666667
6,7,5,27.34,34.34,33,37,0.434,0.603,0.20138289931676964,23.64897287619048,73.04,34.34,0,36,0.81
6,7,9,34.34,28.53,41,46,0.457,0.689,0.7954479042508745,24.532655415873016,38.55,28.53,0,27,0.7092063492063492
1,5,4,28.53,4.13,7,8,0.488,0.481,0.2093930845770701,25.065521815873016,525.75,4.13,0,18,0.988
4,9,4,4.13,36.7,123,131,0.496,0.66,0.7987762715142018,25.97574403809524,34.23,36.7,0,36,0.7755555555555556
4,7,5,36.7,34.97,92,102,0.512,0.663,0.6707010833829845,26.904696352380952,57.48,34.96,0,36,0.8657142857142858
4,6,8,34.97,24.97,30,35,0.453,0.657,0.20735954060058703,27.77483535238096,68.62,24.97,0,27,0.788125
4,8,5,24.97,27.3,100,107,0.473,0.649,0.7997810502626497,28.693085352380955,30.17,27.29,0,27,0.795625
5,7,7,27.3,27.73,62,67,0.424,0.663,0.7988208419076916,29.603656780952385,32.37,27.73,0,27,0.7764285714285715
1,4,7,27.73,2.0,12,15,0.386,0.587,0.20508818752606275,30.03103766666667,1126.06,2.0,0,18,0.9017857142857142
1,4,4,2.0,2.29,8,10,0.4,0.544,0.209991674991576,30.48192666666667,1317.84,2.29,0,27,1.0
5,9,9,2.29,36.88,133,138,0.429,0.733,0.792281523627302,31.34014888888889,28.56,36.89,0,36,0.6455555555555555
2,7,5,36.88,27.19,148,163,0.598,0.652,0.7673127090643576,32.31100603174603,54.67,27.18,0,27,0.9271428571428572
3,9,7,27.19,27.56,95,98,0.556,0.645,0.7984796198048163,33.2188473015873,32.26,27.56,0,27,0.7696031746031746
5,4,7,27.56,1.89,28,32,0.338,0.661,0.20473125999061123,33.61870444444445,1509.89,1.89,0,27,0.8946428571428572
4,8,5,1.89,27.11,97,104,0.468,0.642,0.7996225782281189,34.53570444444445,35.16,27.11,0,27,0.7925
2,8,8,27.11,27.55,242,253,0.626,0.699,0.8013964533847782,35.46695444444445,37.95,27.55,0,27,0.828125
2,9,8,27.55,18.02,151,170,0.475,0.659,0.7937901017682534,36.33726,28.56,18.01,0,18,0.6757638888888888
2,5,5,18.02,19.88,97,118,0.498,0.554,0.2098919220920652,37.0013936,288.75,19.87,0,45,0.998
5,7,5,19.88,36.44,60,66,0.482,0.649,0.8022086125282655,37.939107885714286,36.83,36.44,0,36,0.8442857142857143
4,8,8,36.44,36.78,169,174,0.49,0.694,0.7969996365607793,38.83510788571429,32.33,36.79,0,36,0.74
4,8,7,36.78,27.19,127,133,0.488,0.667,0.7990714140765716,39.74767931428571,25.68,27.18,0,27,0.7814285714285715
6,5,9,27.19,18.9,29,33,0.266,0.776,0.19485668983294993,40.34152375873016,200.2,18.9,0,36,0.6971111111111111
6,8,8,18.9,26.89,76,80,0.39,0.662,0.7928778282182474,41.20207935873015,30.01,26.89,0,27,0.6575
3,7,4,26.89,27.14,173,182,0.407,0.65,0.7995325579383143,42.118365073015866,35.69,27.14,0,27,0.7907142857142857
1,8,7,27.14,29.94,114,142,0.777,0.612,0.20613646613457975,42.98647241587301,128.75,29.94,0,36,0.9227678571428571
1,8,5,29.94,28.94,145,177,0.781,0.598,0.20939932078197196,43.86405581587301,139.37,28.94,0,36,0.9881249999999999
2,8,7,28.94,36.3,281,307,0.668,0.662,0.8040672295394592,44.82019867301587,45.61,36.3,0,36,0.8903571428571428
3,6,9,36.3,34.66,140,149,0.464,0.76,0.20048673641071676,45.72125422857143,79.12,34.65,0,36,0.808888888888889
6,6,5,34.66,19.6,21,24,0.412,0.579,0.20216658190984343,46.49414316190476,130.05,19.6,0,27,0.8433333333333333
1,5,9,19.6,7.27,6,7,0.483,0.583,0.2003444441038984,46.97845411746032,414.49,7.27,0,27,0.8068888888888888
1,7,6,7.27,14.89,40,51,0.672,0.634,0.20899392991672072,47.86678731746032,128.68,14.89,0,18,0.98
2,5,9,14.89,20.2,84,105,0.476,0.634,0.2014110876961338,48.4674096063492,248.2,20.2,0,45,0.8282222222222222
3,4,8,20.2,9.4,80,88,0.327,0.705,0.20246862462133983,48.9638262063492,611.03,9.4,0,36,0.849375
5,4,8,9.4,2.08,117,121,0.274,0.717,0.19953125085830503,49.3262984063492,1562.97,2.08,0,27,0.7906249999999999
5,4,9,2.08,0.84,28,33,0.31,0.741,0.19995833333393614,49.66463167301587,4283.02,0.84,0,27,0.7991666666666666
5,8,7,0.84,27.45,98,104,0.404,0.669,0.7965181991504038,50.55677453015873,24.14,27.45,0,27,0.7303571428571429
6,7,4,27.45,16.67,28,32,0.392,0.601,0.7982049948829222,51.424441130158726,46.75,16.67,0,18,0.78
5,8,5,16.67,18.34,73,77,0.372,0.624,0.7966251829875355,52.31744113015873,29.42,18.34,0,18,0.7324999999999999
3,7,7,18.34,36.8,180,188,0.479,0.731,0.7835560726626973,53.25429827301587,53.11,36.82,0,36,0.8421428571428571
4,6,7,36.8,32.75,31,37,0.464,0.632,0.20190470731416388,54.13520276825397,98.23,32.74,0,36,0.8380952380952382
6,6,4,32.75,26.23,13,16,0.426,0.583,0.2607405532707683,55.06031396825397,64.47,26.24,0,27,0.855
5,4,6,26.23,3.93,37,42,0.317,0.643,0.2048115713962992,55.48431416825397,1375.31,3.93,0,36,0.89625
4,9,7,3.93,36.78,178,185,0.527,0.685,0.7991031761438355,56.39713956507937,22.57,36.77,0,36,0.7820634920634921
5,7,9,36.78,27.22,40,46,0.407,0.687,0.7933371444691529,57.26609194603175,44.69,27.22,0,27,0.6723809523809524
1,9,5,27.22,18.33,157,185,0.827,0.588,0.7969622681090742,58.249869723809525,52.04,18.33,0,18,0.9594444444444444
4,9,4,18.33,45.62,205,214,0.566,0.661,0.8007221414152019,59.1756475015873,28.28,45.63,0,45,0.8144444444444444
4,9,9,45.62,36.47,194,197,0.52,0.719,0.7944181156460374,60.05098083492063,19.59,36.48,0,36,0.6883333333333334
1,5,8,36.47,6.6,5,6,0.481,0.64,0.2040494465064116,60.51338063492063,633.2,6.6,0,36,0.881
3,5,4,6.6,28.19,109,116,0.351,0.695,0.20254986183085957,61.32361423492063,132.66,28.19,0,36,0.851
4,7,8,28.19,36.2,125,133,0.521,0.682,0.795235922111601,62.24297137777777,50.31,36.2,0,36,0.7983928571428571
6,8,6,36.2,27.69,80,85,0.404,0.639,0.7976250960284321,63.143971377777774,25.07,27.69,0,27,0.7525
4,9,7,27.69,18.31,88,96,0.366,0.647,0.7932763179986345,64.01016185396826,26.11,18.32,0,18,0.6654761904761906
4,9,7,18.31,36.62,155,157,0.366,0.679,0.7944181151047677,64.88549518730159,20.45,36.62,0,36,0.6883333333333334
