replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp
1,9,4,0,24,0.165,0.816,0.9183333333333333,0.9183333333333333,17.5,24.0,0,24,1708334506.358682
3,9,8,24,24,0.09500000000000001,0.7713333333333333,0.9069722222222223,1.8253055555555555,17.86,24.07,0,24,1708335121.626084
2,7,6,24,32,0.16249999999999998,0.7769999999999999,0.9232142857142858,2.7485198412698413,18.63,32.0,0,32,1708335736.886341
1,9,8,32,32,0.276,0.707,0.9190416666666666,3.667561507936508,17.9,32.0,0,32,1708336352.1204352
3,6,4,32,40,0.15633333333333335,0.7783333333333333,0.9260555555555556,4.593617063492063,20.89,40.33,0,40,1708336967.3229518
1,7,5,40,32,0.311,0.754,0.9444285714285714,5.538045634920635,25.2,32.13,0,32,1708337582.6375825
2,8,5,32,32,0.183,0.7390000000000001,0.922875,6.460920634920635,22.29,32.0,0,32,1708338198.3542619
3,5,8,32,24,0.1386666666666667,0.8413333333333334,0.9277333333333333,7.388653968253968,24.87,24.0,0,24,1708338813.611024
2,5,8,24,40,0.1435,0.8185,0.9287,8.317353968253968,22.8,40.0,0,40,1708339478.9527268
3,9,4,40,40,0.14233333333333334,0.7416666666666667,0.9158148148148149,9.233168783068784,20.78,40.0,0,40,1708340094.217907
3,4,7,40,40,0.21833333333333335,0.8206666666666668,0.9545833333333333,10.187752116402118,35.0,40.33,0,40,1708340709.5037692
1,7,4,40,39,0.301,0.746,0.9416,11.129352116402117,27.56,39.93,0,40,1708341476.6909978
1,6,8,39,48,0.403,0.824,0.9671666666666667,12.096518783068785,28.1,48.13,0,48,1708342091.9367163
2,9,5,48,40,0.198,0.7595,0.922,13.018518783068785,21.88,40.13,0,40,1708342707.2415512
2,5,8,40,32,0.1815,0.8925,0.9363,13.954818783068784,26.54,32.0,0,32,1708343322.5041666
1,9,8,32,24,0.222,0.799,0.9245416666666667,14.87936044973545,21.33,24.0,0,24,1708343937.8412416
1,4,5,24,23,0.4,0.78,0.5324287999999999,15.41178924973545,299.72,23.27,0,56,1708344553.0574267
3,7,6,23,47,0.17666666666666667,0.7286666666666667,0.9240716952380952,16.335860944973547,22.89,47.93,0,48,1708345168.291415
1,5,7,47,40,0.365,0.842,0.973,17.308860944973546,38.54,40.2,0,40,1708345783.8258498
1,7,4,40,40,0.364,0.72,0.952,18.260860944973544,22.56,40.13,0,40,1708346399.0644345
3,6,4,40,42,0.15933333333333333,0.7646666666666667,0.9265555555555556,19.1874165005291,22.23,42.07,0,40,1708347014.30623
1,5,5,42,32,0.343,0.747,0.9686,20.1560165005291,36.68,32.0,0,32,1708347631.0704699
1,8,5,32,32,0.297,0.776,0.937125,21.0931415005291,19.1,32.07,0,32,1708348246.3051338
2,9,5,32,40,0.1875,0.7430000000000001,0.9208333333333334,22.013974833862434,19.96,40.0,0,40,1708348861.5592694
1,5,9,40,39,0.35,0.95,0.9525999999999999,22.966574833862435,48.41,39.13,0,40,1708349476.7798193
1,8,5,39,40,0.324,0.618,0.9405,23.907074833862435,19.45,40.13,0,40,1708350091.998676
3,5,5,40,40,0.16066666666666665,0.7673333333333333,0.9321333333333334,24.839208167195768,23.94,40.13,0,40,1708350707.2246108
1,7,8,40,40,0.35,0.826,0.95,25.789208167195767,20.3,40.0,0,40,1708351332.81724
